Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-SC,,,STD29678,235,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Upstate Region Oconee Co Seneca STD,SC DHEC Upstate Oconee Co Seneca Health Dept STD,609 N Townville St,,Seneca,SC,29678,
STD-SC,,,STD29812,1087,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Barnwell Co STD,SC DHEC Midlands Barnwell Co Health Dept STD,11015 Ellenton St,,Barnwell,SC,29812,
STD-SC,,,STD29526,1495,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Pee Dee Region Horry Co Conway STD,SC DHEC Pee Dee Horry Co Conway Health Dept STD,1931 Industrial Park Rd,,Conway,SC,29526,
STD-SC,,,STD29721,1528,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Lancaster Co STD,SC DHEC Midlands Lancaster Health Dept STD,1833 Pageland Hwy,,Lancaster,SC,29720,
STD-SC,,,STD29116,1735,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Lowcountry Region Orangeburg Co STD,SC DHEC Lowcountry Orangeburg Co Health Dept STD,1550 Carolina Ave,,Orangeburg,SC,29115,
STD-SC,,,STD29824,1976,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Edgefield Co STD,SC DHEC Midlands Edgefield Co Health Dept STD,21 Star Rd,,Edgefield,SC,29824,
STD-SC,,,STD29102,2028,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Pee Dee Region Clarendon Co Manning STD,SC DHEC Pee Dee Clarendon Co Manning Health Dept STD,110 E Boyce St,,Manning,SC,29102,
STD-SC,,,STD29560,3286,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Florence Co Lake City STD,SC DHEC Pee Dee Florence Co Lake City Health Dept STD,137 N Acline St,,Lake City,SC,29560,
STD-SC,,,STD29379,3402,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Upstate Region Union Co STD,SC DHEC Upstate Union Co Health Dept STD,115 Thomas St,,Union,SC,29379,
STD-SC,,,STD29910,4070,STD,TRUE,10/1/2003,,,2/11/2014 0:00,,,SC DHEC Lowcountry Region Beaufort Co Bluffton STD,SC DHEC Lowcountry Beaufort Co Bluffton Health Dept STD,4819 Bluffton Pkwy,,Bluffton,SC,29910,
STD-SC,,,STD29556,4180,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Williamsburg Co Kingstree STD,SC DHEC Pee Dee Williamsburg Co Kingstree Health Dept STD,520 Thurgood Marshall Hwy,Ste A,Kingstree,SC,29556,
STD-SC,,,STD29810,4439,STD,TRUE,10/1/2003,,,2/11/2014 0:00,,,SC DHEC Lowcountry Region Allendale Co STD,SC DHEC Lowcountry Allendale Co Health Dept STD,571 N Memorial St,,Allendale,SC,29810,
STD-SC,,,STD29325,4602,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Upstate Region Laurens Co Clinton STD,SC DHEC Upstate Laurens Co Clinton Health Dept STD,93 Human Services Rd,,Clinton,SC,29325,
STD-SC,,,STD29150,4928,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Sumter Co STD,SC DHEC Pee Dee Sumter Co Health Dept STD,105 N Magnolia St,,Sumter,SC,29150,
STD-SC,,,STD29477,6204,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Lowcountry Region Dorchester Co St George STD,SC DHEC Lowcountry Dorchester Co St George Health Dept STD,201 Gavin St,,St George,SC,29477,
STD-SC,,,STD29551,6212,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Darlington Co Hartsville STD,SC DHEC Pee Dee Darlington Co Hartsville Health Dept STD,130 E Camden Ave,,Hartsville,SC,29550,
STD-SC,,,STD29622,6555,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Upstate Region Anderson Co STD,SC DHEC Upstate Anderson Co Health Dept STD,220 McGee Rd,,Anderson,SC,29625,
STD-SC,,,STD29138,7233,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Saluda Co STD,SC DHEC Midlands Saluda Co Health Dept STD,613 Newberry Hwy,,Saluda,SC,29138,
STD-SC,,,STD29305,7691,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Upstate Region Spartanburg Co USC Upstate STD,SC DHEC Upstate Spartanburg Co USC Upstate Health Dept STD,800 University Way,,Spartanburg,SC,29303,
STD-SC,,,STD29108,8249,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Newberry Co STD,SC DHEC Midlands Newberry Co Health Dept STD,2111 Wilson Rd,,Newberry,SC,29108,
STD-SC,,,STD29835,8288,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Upstate Region McCormick Co STD,SC DHEC Upstate McCormick Co Health Dept STD,204 Hwy 28,,McCormick,SC,29835,
STD-SC,,,STD29180,8415,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Fairfield Co Winnsboro STD,SC DHEC Midlands Fairfield Co Winnsboro Health Dept STD,1136 Kincaid Bridge Rd,,Winnsboro,SC,29180,
STD-SC,,,STD29902,8640,STD,TRUE,10/1/2003,,,2/11/2014 0:00,,,SC DHEC Lowcountry Region Beaufort Co STD,SC DHEC Lowcountry Beaufort Co Health Dept STD,601 Wilmington St,,Beaufort,SC,29902,
STD-SC,,,STD29006,8792,STD,TRUE,10/1/2007,,,2/19/2014 0:00,,,SC DHEC Midlands Region Lexington Co Batesburg STD,SC DHEC Midlands Lexington Co Batesburg Health Dept STD,229 W Church St,,Batesburg,SC,29006,
STD-SC,,,STD29306,8924,STD,TRUE,10/1/2007,,,3/2/2014 0:00,,,SC DHEC Upstate Region Spartanburg Co Tobias Center STD,SC DHEC Upstate Spartanburg Co Tobias Center Health Dept STD,154 George Washington Carver Dr,,Spartanburg,SC,29306,
STD-SC,,,STD29512,9349,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Pee Dee Region Marlboro Co Bennettsville STD,SC DHEC Pee Dee Marlboro Co Bennettsville Health Dept STD,711 S Parsonage St,,Bennettsville,SC,29512,
STD-SC,,,STD29620,9860,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Upstate Region Abbeville Co STD,SC DHEC Upstate Abbeville Co Health Dept STD,905 W Greenwood St,,Abbeville,SC,29620,
STD-SC,,,STD29709,10090,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Chesterfield Co STD,SC DHEC Pee Dee Chesterfield Co Health Dept STD,203 N Page St,,Chesterfield,SC,29709,
STD-SC,,,STD29577,10377,STD,TRUE,10/1/2003,,,2/27/2014 0:00,,,SC DHEC Pee Dee Region Horry Co Myrtle Beach STD,SC DHEC Pee Dee Horry Co Myrtle Beach Health Dept STD,700 21st Ave N,,Myrtle Beach,SC,29577,
STD-SC,,,STD29169,10611,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Midlands Region Lexington Co STD,SC DHEC Midlands Lexington Co Health Dept STD,1070 S Lake Dr,Ste B,Lexington,SC,29073,
STD-SC,,,STD29135,11143,STD,TRUE,10/1/2003,,,2/11/2014 0:00,,,SC DHEC Lowcountry Region Calhoun Co St Matthews STD,SC DHEC Lowcountry Calhoun Co St Matthews Health Dept STD,2837 Old Belleville Rd,,St Matthews,SC,29135,
STD-SC,,,STD29924,11889,STD,TRUE,10/1/2003,,,2/19/2014 0:00,,,SC DHEC Lowcountry Region Hampton Co Varnville STD,SC DHEC Lowcountry Hampton Co Varnville Health Dept STD,531 W Carolina Ave,,Varnville,SC,29944,
STD-SC,,,STD29483,13029,STD,TRUE,10/1/2007,,,2/19/2014 0:00,,,SC DHEC Lowcountry Region Dorchester Co Summerville STD,SC DHEC Lowcountry Dorchester Co Summerville Health Dept STD,500 N Main St,Ste 9,Summerville,SC,29483,
STD-SC,,,STD29401,13083,STD,TRUE,10/1/2007,,,2/19/2014 0:00,,,SC DHEC Lowcountry Region Charleston Co Charleston Center STD,SC DHEC Lowcountry Charleston Co Charleston Center Health Dept STD,3 Charleston Center Dr,,Charleston,SC,29401,
STD-SC,,,STD29506,13666,STD,TRUE,10/1/2003,,,3/2/2014 0:00,,,SC DHEC Pee Dee Region Florence Co STD,SC DHEC Pee Dee Florence Co Health Dept STD,145 E Cheves St,,Florence,SC,29506,
