Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-WA,,,STD988013,443,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,CHELAN-DOUGLAS HEALTH DISTRICT,,200 VALLEY MALL PARKWAY,,EAST WENATCHEE,WA,98802,
STD-WA,,,STD98239,457,STD,TRUE,1/1/2003,,,2/24/2014 0:00,,,ISLAND COUNTY HEALTH DEPT,,6TH & MAIN STREETS,,COUPEVILLE,WA,98239,
STD-WA,,,STD985866,983,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,PACIFIC COUNTY HEALTH DEP,,1216 WEST ROBERT BUSH DR,,SOUTH BEND,WA,98586,
STD-WA,,,STD9812226,1176,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,ISSAQUAH HEALTH CENTER,75 NW DOGWOOD STREET,Suite B,ISSAQUAH,WA,98027,
STD-WA,,,STD98225,1288,STD,TRUE,1/1/2005,,,3/6/2014 0:00,,,MOUNT BAKER PLANNED PARENTHOOD,BELLINGHAM HEALTH CENTER,1530 ELLIS ST,,BELLINGHAM,WA,98225,
STD-WA,,,STD9812222,1615,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,CENTRALIA HEALTH CENTER,1020 WEST MAIN STREET,,CENTRALIA,WA,98531,
STD-WA,,,STD982015,1730,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,SNOHOMISH HEALTH DISTRICT,,"3020 Rucker Ave, Ste 306",,EVERETT,WA,98201,
STD-WA,,,STD9812213,2731,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,MARYSVILLE HEALTH CENTER,10210 STATE AVENUE,,MARYSVILLE,WA,98271,
STD-WA,,,STD98662,3341,STD,TRUE,1/1/2005,,,2/24/2014 0:00,,,"PLANNED PARENTHOOD OF THE COLUMBIA/WILLAMETTE, INC",VANCOUVER HEALTH CENTER,11516 SE Mill Plain Blvd,Ste 2E,VANCOUVER,WA,98684,
STD-WA,,,STD992019,3635,STD,TRUE,1/1/2000,,,2/20/2014 0:00,,,SPOKANE REGIONAL HEALTH DISTRICT,,"1101 W COLLEGE AVE, Room 330",,SPOKANE,WA,99201,
STD-WA,,,STD986126,4052,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,WAHKIAKUM COUNTY HEALTH DEPT,,64 MAIN STREET,,CATHLAMENT,WA,98612,
STD-WA,,,STD98686,5298,STD,TRUE,1/1/2005,,,2/24/2014 0:00,,,"PLANNED PARENTHOOD OF THE COLUMBIA/WILLAMETTE, INC",SALMON CREEK EXPRESS CENTER,2105 NE 129TH,SUITE 105,VANCOUVER,WA,98686,
STD-WA,,,STD993478,6838,STD,TRUE,1/1/2000,,,2/20/2014 0:00,,,GARFIELD COUNTY HEALTH DISTRICT,,121 SOUTH 10TH ST,,POMEROY,WA,99347,
STD-WA,,,STD985846,6887,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,MASON COUNTY HEALTH DEPT,,303 N 4TH STREET,,SHELTON,WA,98584,
STD-WA,,,STD9812221,6897,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,BREMERTON HEALTH CENTER,723 NE RIDDELL ROAD,,BREMERTON,WA,98310,
STD-WA,,,STD98122,6906,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,SEATTLE HEALTH CENTER,2001 E. MADISON,,SEATTLE,WA,98122,
STD-WA,,,STD982961,6955,STD,TRUE,1/1/2005,,,2/14/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,ELLENSBURG HEALTH CENTER,613 NORTH PINE STREET,,ELLENSBURG,WA,98926,
STD-WA,,,STD98362,7069,STD,TRUE,4/1/2011,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,PORT ANGELES HEALTH CENTER,426 EAST 8TH STREET,,PORT ANGELES,WA,98362,
STD-WA,,,STD983122,7457,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,KITSAP COUNTY HEALTH DISTRICT,,345 6TH STREET SUITE 300,,BREMERTON,WA,98337,
STD-WA,,,STD98504,7521,STD,TRUE,12/1/1992,,,2/24/2014 0:00,,,WASHINGTON STATE DEPARTMENT OF HEALTH,,310 Israel Rd SE,,Tumwater,WA,98501,
STD-WA,,,STD98382,7532,STD,TRUE,4/1/2011,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,SEQUIM HEALTH CENTER,"675 NORTH 5TH AVENUE, SUITE 2B",,SEQUIM,WA,98382,
STD-WA,,,STD993652,7682,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,WALLA WALLA HEALTH CENTER,828 SOUTH 1ST STREET,,WALLA WALLA,WA,99362,
STD-WA,,,STD989025,7754,STD,TRUE,1/1/2005,,,2/14/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,YAKIMA HEALTH CENTER,1117 TIETON,,YAKIMA,WA,98902,
STD-WA,,,STD982262,7768,STD,TRUE,1/1/2011,,,2/24/2014 0:00,,,LUMMI INDIAN NATION,LUMMI TRIBAL HEALTH CENTER,2592 KWINA ROAD,,BELLINGHAM,WA,98226,
STD-WA,,,STD986324,7782,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,COWLITZ COUNTY HEALTH DEPT,,"900 Ocean Beach Highway, STE 1-B","Longview, WA 98632-4013",LONGVIEW,WA,98632,
STD-WA,,,STD981221,7909,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,NORTHGATE HEALTH CENTER,2111 N NORTHGATE WAY,SUITE 218,SEATTLE,WA,98133,
STD-WA,,,STD981225,8440,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,PUYALLUP HEALTH CENTER,702 30TH AVENUE SW,,PUYALLUP,WA,98373,
STD-WA,,,STD98944,8781,STD,TRUE,1/1/2005,,,2/14/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,SUNNYSIDE HEALTH CENTER,2934 COVEY LANE,,SUNNYSIDE,WA,98944,
STD-WA,,,STD98506,9254,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,THURSTON COUNTY HEALTH DEPARTMENT,,"412 LILLY ROAD, NE",,OLYMPIA,WA,98506,
STD-WA,,,STD9812210,9696,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,OLYMPIA HEALTH CENTER,"402 LEGION WAY SE, #201",,OLYMPIA,WA,98501,
STD-WA,,,STD988232,9727,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,GRANT COUNTY HEALTH DISTRICT,,1ST AND C STREET NW,,EPHRATA,WA,98823,
STD-WA,,,STD99362,10000,STD,TRUE,1/1/2000,,,2/20/2014 0:00,,,WALLA WALLA COUNTY HEALTH DEPARTMENT,,315 WEST MAIN STREET,,WALLA WALLA,WA,99362,
STD-WA,,,STD9812220,10860,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,BELLEVUE HEALTH CENTER,1420 156TH NE,SUITE C,BELLEVUE,WA,98007,
STD-WA,,,STD9812218,11279,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,WEST SEATTLE HEALTH CENTER,9641 28TH AVENUE SW,,SEATTLE,WA,98126,
STD-WA,,,STD991114,12004,STD,TRUE,12/1/1992,,,2/21/2014 0:00,,,WHITMAN COUNTY HEALTH DEPARTMENT,,NORTH 310 MAIN ST,,COLFAX,WA,99111,
STD-WA,,,STD98881,12081,STD,TRUE,4/1/2011,,,3/13/2014 0:00,,,FAMILY PLANNING ASSOCIATION OF CHELAN-DOUGLAS,,900 FERRY STREET,,WENATCHEE,WA,98881,
STD-WA,,,STD981047,12247,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,PUBLIC HEALTH SEATTLE & KING COUNTY,,"401 5th Ave, Suite 1300",,SEATTLE,WA,98104,
STD-WA,,,STD981224,12613,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,SHELTON HEALTH CENTER,2505 OLYMPIC HWY N,SUITE 400,SHELTON,WA,98584,
STD-WA,,,STD98841,13180,STD,TRUE,4/1/2011,,,2/11/2014 0:00,,,OKANOGAN FAMILY PLANNING CLINIC,,127 NORTH JUNIPER STREET,,OMAK,WA,98841,
STD-WA,,,STD992850825,13349,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,PULLMAN HEALTH CENTER,1525 SE King Dr.,,PULLMAN,WA,99163,
STD-WA,,,STD9812228,13385,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,KENT HEALTH CENTER,10056 SE 240TH STREET,SUITE A,KENT,WA,98031,
STD-WA,,,STD988406,13513,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,OKANOGAN COUNTY HEALTH DISTRICT,,1234 S 2ND AVE,,OKANOGAN,WA,98840,
STD-WA,,,STD982738,13665,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,SKAGIT COUNTY HEALTH DEPT,,700 S 2ND STREET,RM 301,MOUNT VERNON,WA,98273,
STD-WA,,,STD98532,13687,STD,TRUE,1/1/2003,,,2/11/2014 0:00,,,LEWIS COUNTY DEPT OF HEALTH,,360 NW NORTH STREET,,CHEHALIS,WA,98532,
STD-WA,,,STD98418,13957,STD,TRUE,1/1/2001,,,2/25/2014 0:00,,,TACOMA-PIERCE COUNTY HEALTH DEPT,,3629 S D St # MS-433,,TACOMA,WA,98418,
STD-WA,,,STD986639,14586,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,CLARK COUNTY HEALTH DEPARTMENT,,1601 E FOURTH PLAIN BLVD,BLDG 17 Suite A338,VANCOUVER,WA,98661,
STD-WA,,,STD989014,16370,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,YAKIMA HEALTH DISTRICT,,1210 AHTANUM RIDGE DRIVE,,YAKIMA,WA,98903,
STD-WA,,,STD9911155,16673,STD,TRUE,1/1/2005,,,2/20/2014 0:00,,,WHITMAN COUNTY HEALTH DEPARTMENT,,418 SOUTH MAIN STREET,,COLFAX,WA,99111,
STD-WA,,,STD99336,16856,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,KENNEWICK HEALTH CENTER,7426 W. BONNIE,,KENNEWICK,WA,99336,
STD-WA,,,STD982735,17580,STD,TRUE,1/1/2005,,,2/25/2014 0:00,,,MOUNT BAKER PLANNED PARENTHOOD,MOUNT VERNON HEALTH CENTER,1805 E DIVISION STREET,,MOUNT VERNON,WA,98274,
STD-WA,,,STD9920715,17759,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,INDIANA HEALTH CENTER,123 EAST INDIANA AVE,Suite 100,SPOKANE,WA,99207,
STD-WA,,,STD98837,18291,STD,TRUE,4/1/2011,,,3/14/2014 0:00,,,FAMILY PLANNING SERVICES OF GRANT COUNTY,,1402 E CRAIG STREET,,MOSES LAKE,WA,98837,
STD-WA,,,STD992061,18393,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,VALLEY HEALTH CENTER,12104 E MAIN ST,,SPOKANE VALLEY,WA,99206,
STD-WA,,,STD991147,19036,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,NORTHEAST TRI-COUNTY HLTH,,240 E DOMINION,,COLVILLE,WA,99114,
STD-WA,,,STD991691,19299,STD,TRUE,1/1/2000,,,2/10/2014 0:00,,,ADAMS COUNTY HEALTH DEPARTMENT,,108 W MAIN,,RITZVILLE,WA,99169,
STD-WA,,,STD993011,19565,STD,TRUE,1/1/2011,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF GREATER WASHINGTON & NORTH IDAHO,PASCO HEALTH CENTER,3901 W. COURT STREET,,PASCO,WA,99301,
STD-WA,,,STD993280,19623,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,COLUMBIA COUNTY HEALTH DISTRICT,,1010 SOUTH 3RD STREET,,DAYTON,WA,99328,
STD-WA,,,STD993524,19717,STD,TRUE,1/1/2000,,,2/21/2014 0:00,,,BENTON-FRANKLIN HEALTH DISTRICT,,1218 N. 4TH,,PASCO,WA,99301,
STD-WA,,,STD9812225,20610,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,FEDERAL WAY HEALTH CENTER,1105 SOUTH 348TH STREET,SUITE B-103,FEDERAL WAY,WA,98003,
STD-WA,,,STD983687,20665,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,JEFFERSON COUNTY HEALTH & HUMAN SERVICES,,CASTLE HILL CENTER,615 SHERIDAN,PORT TOWNSEND,WA,98368,
STD-WA,,,STD9812224,20818,STD,TRUE,10/17/2005,,,2/15/2014 0:00,,,PLANNED PARENTHOOD OF THE GREAT NORTHWEST,EVERETT HEALTH CENTER,1509 32ND STREET,,EVERETT,WA,98201,
