Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-CA-LA,,,STD93535,137,STD,TRUE,10/31/2005,,,2/25/2014 0:00,,,LOS ANGELES COUNTY DEPARTMENT OF PUBLIC HEALTH,ANTELOPE VALLEY HEALTH CENTER,355-B EAST AVENUE K-6,,LANCASTER,CA,93535,
STD-CA,,,STD931105,311,STD,TRUE,1/1/1998,,,3/13/2014 0:00,,,SANTA BARBARA CO HEALTH DEPT,,345 Camino del Remedio,,SANTA BARBARA,CA,93110,1332
STD-CA,,,STD93637,383,STD,TRUE,1/1/2004,,,2/18/2014 0:00,,,PLANNED PARENTHOOD MAR MONTE,,500 EAST ALMOND AVENUE SUITE 3,,MADERA,CA,93637,
STD-CA,,,STD92543,430,STD,TRUE,1/1/1998,,,3/11/2014 0:00,,,COMMUNITY HEALTH AGENCY - COUNTY OF RIVERSIDE,HEMET HEALTH CENTER,880 N. STATE STREET,,HEMET,CA,92543,
STD-CA,,,STD95661,590,STD,TRUE,1/1/2004,,,2/18/2014 0:00,,,PLANNED PARENTHOOD MAR MONTE,,729 SUNRISE BLVD.,SUITE 900,ROSEVILLE,CA,95661,
STD-CA,,,STD92225,802,STD,TRUE,1/1/2000,,,3/11/2014 0:00,,,COMMUNITY HEALTH AGENCY - COUNTY OF RIVERSIDE,BLYTHE HEALTH CENTER,263 N. BROADWAY,,BLYTHE,CA,92225,
STD-CA-LA,,,STD91331,897,STD,TRUE,10/31/2005,,,2/25/2014 0:00,,,LOS ANGELES COUNTY DEPARTMENT OF PUBLIC HEALTH,PACOIMA HEALTH CENTER,13300 VAN NUYS BLVD,,PACOIMA,CA,91331,
STD-CA,,,STD950601,1281,STD,TRUE,4/1/2003,,,3/7/2014 0:00,,,SANTA CRUZ CO HEALTH DEPT,,1080 EMILENE AVE BLDG D,,SANTA CRUZ,CA,95060,
STD-CA,,,STD92691,1420,STD,TRUE,1/1/2004,,,3/13/2014 0:00,,,PPOSBC-MISSION VIEJO CLINIC,,26137 LA PAZ ROAD,SUITE 200,MISSION VIEJO,CA,92691,
STD-CA,,,STD92370,1672,STD,TRUE,1/1/1998,,,3/11/2014 0:00,,,COMMUNITY HEALTH AGENCY - COUNTY OF RIVERSIDE,PERRIS FAMILY CARE CENTER AKA DR ROBERT BRUCE REID HEALTH CLINIC,308 SAN JACINTO AVE,,PERRIS,CA,92570,
STD-CA,,,STD95991,1800,STD,TRUE,1/1/2004,,,2/18/2014 0:00,,,PLANNED PARENTHOOD MAR MONTE,,430 PALORA AVENUE,SUITE G,YUBA CITY,CA,95991,
STD-CA,,,STD94559,1917,STD,TRUE,4/1/2004,,,3/3/2014 0:00,,,PLANNED PARENTHOOD SHASTA-DIABLO,NAPA CENTER,1735 JEFFERSON STREET,,NAPA,CA,94559,
STD-CA,,,STD94533,1995,STD,TRUE,4/1/2004,,,3/3/2014 0:00,,,PLANNED PARENTHOOD SHASTA-DIABLO,FAIRFIELD CENTER,1325 TRAVIS BLVD,SUITE C,FAIRFIELD,CA,94533,
STD-CA,,,STD947041,2243,STD,TRUE,1/1/2000,,,2/11/2014 0:00,,,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,,850 MARINA BAY PARKWAY,"BLDG P, 2ND FLOOR",RICHMOND,CA,94804,6403
STD-CA,,,STD958279,2273,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,COUNTY OF SACRAMENTO,HEALTH AND HUMAN SERVICES,4600 BROADWAY,SUITE 1300,SACRAMENTO,CA,95820,
STD-CA,,,STD93301,2365,STD,TRUE,1/1/2004,,,2/18/2014 0:00,,,PLANNED PARENTHOOD MAR MONTE,,2535 16TH STREET SUITE 100,,BAKERSFIELD,CA,93301,
STD-CA,,,STD960975,2480,STD,TRUE,10/1/1999,,,3/6/2014 0:00,,,SISKIYOU CO PUBLIC HEALTH,,810 S MAIN ST,,YREKA,CA,96097,
STD-CA,,,STD951121,2555,STD,TRUE,4/1/2003,,,3/3/2014 0:00,,,SANTA CLARA PUBLIC HEALTH DIVISION,CRANE CENTER,976 LENZEN AVENUE,,SAN JOSE,CA,95126,
STD-CA,,,STD95126,2614,STD,TRUE,1/1/2005,,,2/18/2014 0:00,,,PLANNED PARENTHOOD MAR MONTE,,1691 THE ALAMEDA,,SAN JOSE,CA,95126,
