Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-OH,,,STD443087,351,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,Summit County Health District,STD CLINIC,177 S. BROADWAY,,AKRON,OH,44308,
STD-OH,,,STD43213,1303,STD,TRUE,1/1/2008,,,2/26/2014 0:00,,,Planned Parenthood of Greater Ohio,EAST Health Center,3255 EAST MAIN STREET,,COLUMBUS,OH,43213,
STD-OH,,,STD44240,1380,STD,TRUE,1/1/2008,,,2/26/2014 0:00,,,Planned Parenthood of Greater Ohio,KENT HEALTH CENTER,138 E MAIN STREET,2ND Floor,KENT,OH,44240,
STD-OH,,,STD45242,8089,STD,TRUE,4/1/2011,,,3/3/2014 0:00,,,PLANNED PARENTHOOD SOUTHWEST OHIO REGION,,290 NORTHLAND BLVD,,CINCINNATI,OH,45246,
STD-OH,,,STD432151,8319,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,COLUMBUS CITY HEALTH DEPARTMENT,STD CLINIC,240 PARSONS AVENUE,,COLUMBUS,OH,43215,
STD-OH,,,STD44146,10402,STD,TRUE,1/1/2008,,,2/26/2014 0:00,,,Planned Parenthood of Greater Ohio,BEDFORD CENTER,25350 ROCKSIDE ROAD,,BEDFORD,OH,44146,
STD-OH,,,STD436247,10438,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,LUCAS COUNTY REGIONAL HEALTH DISTRICT,STD CLINIC,635 N ERIE ST,STD UNIT,TOLEDO,OH,43604,
STD-OH,,,STD45422,10467,STD,TRUE,1/1/2005,,,2/26/2014 0:00,,,PUBLIC HEALTH-DAYTON & MONTGOMERY COUNTY,STD CLINIC,"117 S. MAIN STREET, REIBOLD BUILDING",,DAYTON,OH,45422,
STD-OH,,,STD45402,11283,STD,TRUE,4/1/2011,,,3/7/2014 0:00,,,PLANNED PARENTHOOD SOUTHWEST OHIO REGION,,224 N WILKINSON STREET,,DAYTON,OH,45402,
STD-OH,,,STD45238,12490,STD,TRUE,4/1/2010,,,2/27/2014 0:00,,,PLANNED PARENTHOOD SOUTHWEST OHIO REGION,MARY YEISER CENTER,2016 FERGUSON ROAD,,CINCINNATI,OH,45238,3718
STD-OH,,,STD441132,12845,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,CLEVELAND CITY HEALTH DEPARTMENT,MCCAFFERTY HEALTH CENTER - STD CLINIC,4242 LORAIN AVE.,,CLEVELAND,OH,44113,
STD-OH,,,STD445026,15022,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,YOUNGSTOWN CITY HEALTH DEPARTMENT,STD CLINIC,345 OAK HILL AVENUE,,YOUNGSTOWN,OH,44502,
STD-OH,,,STD447023,15277,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,CANTON CITY HEALTH DEPARTMENT,STD CLINIC,420 N MARKET AVE,,CANTON,OH,44702,
STD-OH,,,STD45219,16423,STD,TRUE,4/1/2011,,,3/3/2014 0:00,,,PLANNED PARENTHOOD SOUTHWEST OHIO REGION,,2314 AUBURN AVENUE,,CINCINNATI,OH,45219,
STD-OH,,,STD44109,16815,STD,TRUE,1/1/2008,,,3/6/2014 0:00,,,Planned Parenthood of Greater Ohio,OLD BROOKLYN HEALTH CENTER,3311 BROADVIEW ROAD,,CLEVELAND,OH,44109,
STD-OH,,,STD45504,17348,STD,TRUE,4/1/2011,,,3/3/2014 0:00,,,PLANNED PARENTHOOD SOUTHWEST OHIO REGION,Springfield,1061 NORTH BECHTLE AVENUE,,SPRINGFIELD,OH,45504,
STD-OH,,,STD44052,18510,STD,TRUE,1/1/2008,,,2/26/2014 0:00,,,Planned Parenthood of Greater Ohio,Loraine Health Center,200 W 9TH STREET,,LORAIN,OH,44052,
STD-OH,,,STD432155,18641,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,OHIO DEPARTMENT OF HEALTH,STD PREVENTION PROGRAM,35 E. CHESTNUT STREET,6TH FLOOR,COLUMBUS,OH,43215,
STD-OH,,,STD43201,19966,STD,TRUE,7/1/2008,,,2/26/2014 0:00,,,PLANNED PARENTHOOD OF Greater Ohio,NORTH HEALTH CENTER,18 EAST 17TH AVENUE,,COLUMBUS,OH,43201,
STD-OH,,,STD452293,21913,STD,TRUE,1/1/2005,,,2/15/2014 0:00,,,CINCINNATI HEALTH DEPARTMENT,STD CLINIC,3101 BURNET AVENUE,,CINCINNATI,OH,45229,
STD-OH,,,STD44116,22309,STD,TRUE,7/1/2008,,,3/6/2014 0:00,,,Planned Parenthood of Greataer Ohio,ROCKY RIVER HEATLH CENTER,"20800 CENTER RIDGE ROAD, SUITE 101",,ROCKY RIVER,OH,44116,
STD-OH,,,STD45036,23703,STD,TRUE,1/1/2010,,,2/15/2014 0:00,,,WARREN COUNTY COMBINED HEALTH DISTRICT,,416 SOUTH EAST STREET,,LEBANON,OH,45036,
STD-OH,,,STD45245,29409,STD,TRUE,10/1/2012,,,3/3/2014 0:00,,,Planned Parenthood of Southwest Ohio,Clermont Center,834 Ohio Pike,,Withamsville,OH,45245,
STD-OH,,,STD45011,29410,STD,TRUE,10/1/2012,,,3/3/2014 0:00,,,Planned Parenthood of Southwest Ohio,Mary Stark Center/Hamilton,11 Ludlow Street,,Hamilton,OH,45011,
STD-OH,,,STD44077,36775,STD,TRUE,10/1/2013,,,2/12/2014 0:00,,,"Family Planning Association of Northeast Ohio, Inc.",Lake County,54 S. State Street,Suite 203,Painesville,OH,44077,
