Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-TX,,,STD770548,15,STD,TRUE,1/1/1997,,,2/11/2014 0:00,,,HOUSTON DEPARTMENT OF HEALTH & HUMAN SERVICES,,3301 Commerce Street,,Houston,TX,77003,1639
STD-TX,,,STD752074,4388,STD,TRUE,1/1/1995,,,2/25/2014 0:00,,,DALLAS COUNTY HEALTH AND HUMAN SERVICES,,2377 N. STEMMONS FREEWAY,SUITE 132,DALLAS,TX,75207,
STD-TX,,,STD787448,9883,STD,TRUE,1/1/1995,,,3/10/2014 0:00,,,AUSTIN TRAVIS COUNTY HEALTH DEPARTMENT,,15 WALLER STREET,,AUSTIN,TX,78702,
STD-TX,,,STD787563,17705,STD,TRUE,1/1/1998,,,2/25/2014 0:00,,,TEXAS DEPARTMENT OF STATE HEALTH SERVICES (DSHS),STD/HIV PREVENTION AND CARE BRANCH,1100 WEST 49TH STREET,,AUSTIN,TX,78756,
STD-TX,,,STD796050,18056,STD,TRUE,1/1/1995,,,2/18/2014 0:00,,,ABILENE-TAYLOR CO PUBLIC HEALTH,,850 N 6TH STREET,,ABILENE,TX,79601,
STD-TX,,,STD782851,22860,STD,TRUE,1/1/1995,,,3/10/2014 0:00,,,SAN ANTONIO METROPOLITAN HEALTH DEPARTMENT,,332 WEST COMMERCE,,SAN ANTONIO,TX,78205,
STD-TX,,,STD77023,35257,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,4600 Gulf Freeway,,Houston,TX,77023,
STD-TX,,,STD77068,36117,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,4747 Louetta Road,,Spring,TX,77388,
STD-TX,,,STD77539,36127,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,3315 Gulf Freeway,,Dickinson,TX,77539,
STD-TX,,,STD77037,36131,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,11834 Airline Dr,,Houston,TX,77037,
STD-TX,,,STD77040,36146,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,13169 Northwest Freeway,Suite 115,Houston,TX,77040,
STD-TX,,,STD77081,36149,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,5800 Bellaire Blvd.,"Building 1B, Suite 120",Houston,TX,77081,
STD-TX,,,STD77477,36150,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",,12614 Southwest Freeway,Suite A,Stafford,TX,77477,
STD-TX,,,STD770231,36331,STD,TRUE,7/1/2013,,,2/15/2014 0:00,,,"Planned Parenthood Gulf Coast, Inc",Dysplasia Services,4600 Gulf Freeway,Suite 100,Houston,TX,77023,
STD-TX,,,STD784151,38527,STD,TRUE,1/1/2014,,,2/19/2014 0:00,,,"Women's and Men's Health Services of the Coastal Bend, Inc.",Holly Clinic,3536 Holly Road,,Corpus Christi,TX,78415,3214
STD-TX,,,STD78415,38530,STD,TRUE,1/1/2014,,,2/15/2014 0:00,,,"Women's and Men's Health Services of the Coastal Bend, Inc.",Dillon Clinic,"4410 Dillon Lane, Suite 1",,Corpus Christi,TX,78415,3214
STD-TX,,,STD770301,38618,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinic - Ben Taub Hospital,1504 Taub Loop,,Houston,TX,77030,
STD-TX,,,STD77088,38621,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Clinic Lawn,8111 Lawn,,Houston,TX,77088,
STD-TX,,,STD77026,38624,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinic at Lyndon Baines Hospital,5656 Kelley,,Houston,TX,77026,
STD-TX,,,STD770261,38625,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Cavalcade,3815 Cavalcade,,Houston,TX,77026,
STD-TX,,,STD77021,38626,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Cullen,5737 Cullen Suite 200,,Houston,TX,77021,
STD-TX,,,STD77057,38627,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Lee,6529 Beverly Hill Lane,,Houston,TX,77057,
STD-TX,,,STD770171,38628,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Chavez,8501 Howard,,Houston,TX,77017,
STD-TX,,,STD77017,38629,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Tejano,2950 Broadway,,Houston,TX,77017,
STD-TX,,,STD77051,38630,STD,TRUE,1/1/2014,,,2/12/2014 0:00,,,Baylor College of Medicine,Teen Health Clinics - Worthing,9215 Scott,,Houston,TX,77051,
STD-TX,,,STD78202,38652,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,Eastside Clinic,210 N. Rio Grande,,San Antonio,TX,78202,
STD-TX,,,STD78212,38696,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,Kenwood Clinic,302 Dora,,San Antonio,TX,78212,
STD-TX,,,STD78217,38698,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,Naco Perrin Clinic,4020 Naco Perrin,,San Antonio,TX,78217,
STD-TX,,,STD78237,38701,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,Salinas Clinic,630 South General McMullen,,San Antonio,TX,78237,
STD-TX,,,STD78221,38704,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,South Flores Clinic,7902 South Flores,,San Antonio,TX,78221,
STD-TX,,,STD78211,38706,STD,TRUE,1/1/2014,,,2/13/2014 0:00,,,University Health System,Zarzamora Clinic,4503 South Zarzamora,,San Antonio,TX,78211,
STD-TX,,,STD77091,38857,STD,TRUE,1/1/2014,,,3/4/2014 0:00,,,"Harris County Public Health and Environmental Servics HCPHES Main Office, Disease Control and Clinical Prevention",Antoine Health Clinic,"5815 Antoine Dr, STE C",,Houston,TX,77091,
STD-TX,,,STD77052,38861,STD,TRUE,1/1/2014,,,3/6/2014 0:00,,,"Harris County Public Health and Environmental Services HCPHES Main Office, Disease Control and Clinical Prevention",Baytown Health Clinic,1000 Lee Drive,,Baytown,TX,77502,
