Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-WI,,,STD544951,1305,STD,TRUE,1/1/2004,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - WISCONSIN RAPIDS HEALTH CENTER,1355 S. 8TH STREET,,WISCONSIN RAPIDS,WI,54494,
STD-WI,,,STD53227,1750,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - LINCOLN PLAZA HEALTH CENTER,2239 SOUTH 108TH STREET,,WEST ALLIS,WI,53227,
STD-WI,,,STD53546,1848,STD,TRUE,1/1/2001,,,2/26/2014 0:00,,,FIRST CHOICE WOMEN'S HEALTH,,1015 BURBANK AVENUE,,JANESVILLE,WI,53546,
STD-WI,,,STD54555,2981,STD,TRUE,10/1/1997,,,2/15/2014 0:00,,,PRICE COUNTY HEALTH DEPARTMENT,,104 S. EYDER AVENUE,,PHILLIPS,WI,54555,
STD-WI,,,STD53081,3102,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - SHEBOYGAN HEALTH CENTER,2108 KOHLER MEMORIAL DRIVE,,SHEBOYGAN,WI,53081,
STD-WI,,,STD53818,3636,STD,TRUE,10/1/1997,,,2/15/2014 0:00,,,SWCAP NEIGHBORHOOD HEALTH PARTNERS,,275 WEST MAIN,,PLATTEVILLE,WI,53818,
STD-WI,,,STD54736,3756,STD,TRUE,10/1/1997,,,2/18/2014 0:00,,,PEPIN COUNTY HEALTH DEPAR,,740 7TH AVENUE WEST,,DURAND,WI,54736,
STD-WI,,,STD54843,5293,STD,TRUE,10/1/2006,,,3/13/2014 0:00,,,SAWYER COUNTY HEALTH DEPARTMENT,,10610 MAIN STREET,,HAYWARD,WI,54843,
STD-WI,,,STD54153,5516,STD,TRUE,10/1/1997,,,3/6/2014 0:00,,,NEWCAP Community Health Services,Oconto Clinic/Corporate Agency,1201 MAIN STREET,,OCONTO,WI,54153,
STD-WI,,,STD54301,7079,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - GREEN BAY HEALTH CENTER,2605 Oneida Street,Suite 107,GREEN BAY,WI,54304,
STD-WI,,,STD54801,7112,STD,TRUE,10/1/1997,,,3/3/2014 0:00,,,WASHBURN COUNTY HEALTH DE,,222 OAK STREET,,SPOONER,WI,54801,
STD-WI,,,STD54812,7342,STD,TRUE,10/1/1997,,,2/12/2014 0:00,,,BARRON COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,,"335 E Monroe Avenue, Room 338",,BARRON,WI,54812,
STD-WI,,,STD54901,7911,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - OSHKOSH HEALTH CENTER,378 S. KOELLER STREET,,OSHKOSH,WI,54902,
STD-WI,,,STD532023,8104,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,BESTD CLINIC,,1240 E. BRADY STREET,,MILWAUKEE,WI,53202,1603
STD-WI,,,STD54935,9941,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - FOND DU LAC HEALTH CENTER,333 N PETERS AVE,SUITE 6,FOND DU LAC,WI,54935,
STD-WI,,,STD53704,10026,STD,TRUE,1/1/2004,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - MADISON EAST CR HEALTH CENTER,3706 ORIN ROAD,,MADISON,WI,53704,
STD-WI,,,STD546031,10432,STD,TRUE,7/1/2001,,,2/20/2014 0:00,,,OPTIONS IN REPRODUCTIVE CARE,,1201 CALEDONIA STREET,,LACROSSE,WI,54603,
STD-WI,,,STD54806,10632,STD,TRUE,7/1/2004,,,3/7/2014 0:00,,,"DOUGLAS COUNTY COMMUNITY HEALTH CLINIC, INC.",D/B/A ASHLAND HEALTH CARE CLINIC,313 3RD ST WEST,,ASHLAND,WI,54806,
STD-WI,,,STD54751,12442,STD,TRUE,10/1/1997,,,2/11/2014 0:00,,,DUNN COUNTY HEALTH DEPART,,800 WILSON AVENUE Rm20A,,MENOMONIE,WI,54751,
STD-WI,,,STD537031,12638,STD,TRUE,1/1/1999,,,2/19/2014 0:00,,,WISCONSIN DIVISION OF PUB,BUREAU OF COMMUNICABLE DI,1 W. WILSON ST.,ROOM 133,MADISON,WI,53701,2659
STD-WI,,,STD54401,13110,STD,TRUE,10/1/1997,,,2/20/2014 0:00,,,"FAMILY PLANNING HEALTH SERVICES, INC.",,719 NORTH 3RD AVENUE,,WAUSAU,WI,54401,
STD-WI,,,STD531401,13283,STD,TRUE,7/1/2004,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - KENOSHA HEALTH CENTER,3601 ROOSEVELT ROAD,,KENOSHA,WI,53140,7231
STD-WI,,,STD54912,14525,STD,TRUE,1/1/2009,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - APPLETON NORTH HEALTH CENTER,3800 NORTH GILLETT STREET,,APPLETON,WI,54912,
STD-WI,,,STD54703,14977,STD,TRUE,10/1/1997,,,3/3/2014 0:00,,,EAU CLAIRE CITY-COUNTY HE,,720 SECOND AVENUE,,EAU CLAIRE,WI,54703,
STD-WI,,,STD54810,16489,STD,TRUE,10/1/1997,,,2/21/2014 0:00,,,POLK COUNTY HEALTH DEPART,,100 POLK CO PLZ,SUITE 180,BALSAM LAKE,WI,54810,
STD-WI,,,STD54880,16513,STD,TRUE,10/1/1997,,,2/21/2014 0:00,,,"DOUGLAS COUNTY COMMUNITY DBA HEALTH CARE CLINIC, INC.",,69 N 28 th E.,Suite 9,SUPERIOR,WI,54880,
STD-WI,,,STD53202,17154,STD,TRUE,1/1/2003,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,,302 N JACKSON STREET,,MILWAUKEE,WI,53202,
STD-WI,,,STD54703Q,17243,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - EAU CLAIRE HEALTH CENTER,1231 MENOMONIE STREET,,EAU CLAIRE,WI,54703,
STD-WI,,,STD532021,18348,STD,TRUE,10/1/2002,,,2/10/2014 0:00,,,KEENAN CENTRAL HEALTH CLINIC,NORTHWEST HEALTH CENTER,3200 NORTH 36TH STREET,2ND FLOOR,MILWAUKEE,WI,53216,
STD-WI,,,STD532121,19114,STD,TRUE,4/1/2008,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - CAPITAL DRIVE HEALTH CENTER,801 EAST CAPITAL DRIVE,,MILWAUKEE,WI,53212,
STD-WI,,,STD54220,19486,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - MANITOWOC HEALTH CENTER,1100 SOUTH 30TH STREET,,MANITOWOC,WI,54220,
STD-WI,,,STD54911,19578,STD,TRUE,10/1/2002,,,2/20/2014 0:00,,,PLANNED PARENTHOOD OF WI INC.,PPWI - APPLETON CENTRAL HEALTH CENTER,508 W. WISCONSIN AVE,,APPLETON,WI,54911,
STD-WI,,,STD54011,19817,STD,TRUE,10/1/1997,,,2/13/2014 0:00,,,PIERCE COUNTY HEALTH DEPA,,412 WEST KINNE,,ELLSWORTH,WI,54011,
STD-WI,,,STD54129,20180,STD,TRUE,10/1/2006,,,2/20/2014 0:00,,,Thedacare Physicians Hilbert,,308 WEST MAIN STREET,,HILBERT,WI,54129,0202
STD-WI,,,STD54017,20620,STD,TRUE,10/1/1997,,,2/11/2014 0:00,,,ST. CROIX COUNTY HEALTH D,,St. Croix County Services Center,1752 Dorset Lane,NEW RICHMOND,WI,54017,
STD-WI,,,STD54601,20789,STD,TRUE,10/1/1997,,,2/21/2014 0:00,,,ONEIDA COUNTY HEALTH DEPA,,"100 W Keenan St,",,RHINELANDER,WI,54501,
STD-WI,,,STD54872,21342,STD,TRUE,10/1/1997,,,2/11/2014 0:00,,,COUNTY OF BURNETT,DEPT OF HEALTH & HUMAN SERVICES,7410 COUNTY ROAD K #280,,SIREN,WI,54872,9070
