Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-GA,,,STD315209,88,STD,TRUE,1/1/1997,,,2/24/2014 0:00,,,GLYNN COUNTY HEALTH DEPARTMENT,GLYNN COUNTY,2747 FOURTH STREET,,BRUNSWICK,GA,31520,
STD-GA,,,STD31639,123,STD,TRUE,1/1/2000,,,3/3/2014 0:00,,,BERRIEN COUNTY HEALTH DEPARTMENT,DISTRICT 8-1,600A S. JEFFERSON STREET,,NASHVILLE,GA,31639,
STD-GA,,,STD30828,208,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,WARREN COUNTY HEALTH DEPARTMENT,District 6,510 LEGION DRIVE,,WARRENTON,GA,30828,
STD-GA,,,STD31024,335,STD,TRUE,1/1/2000,,,3/2/2014 0:00,,,PUTNAM COUNTY HEALTH DEPARTMENT,DISTRICT 5-2,"117 PUTNAM DRIVE, SUITE C",,EATONTON,GA,31024,
STD-GA,,,STD30901,477,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,RICHMOND COUNTY HEALTH DEPARTMENT,District 6,950 LANEY-WALKER BLVD,,AUGUSTA,GA,30901,
STD-GA,,,STD31794,598,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,TIFT COUNTY HEALTH DEPARTMENT/ INFECTIOUS DISEASE,DISTRICT 8-1,305 EAST 12TH STREET,,TIFTON,GA,31794,
STD-GA,,,STD31553,1061,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,BRANTLEY COUNTY HEALTH DEPARTMENT,DISTRICT 9-2,173 Florida Ave.,,NAHUNTA,GA,31553,
STD-GA,,,STD31316,1151,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,LONG COUNTY HEALTH DEPARTMENT,District 9-1,584 N. MACON STREET,,LUDOWICI,GA,31316,
STD-GA,,,STD312011,1231,STD,TRUE,1/1/1997,,,2/24/2014 0:00,,,DPH DISTRICT 5 UNIT 2,DISTRICT 5-2,201 Second Street,Suite 1100,MACON,GA,31201,
STD-GA,,,STD31811,1290,STD,TRUE,1/1/2000,,,3/4/2014 0:00,,,HARRIS COUNTY HEALTH DEPARTMENT,DISTRICT 7,210 FORESTHILL DRIVE,,HAMILTON,GA,31811,
STD-GA,,,STD31714,1384,STD,TRUE,1/1/2000,,,3/10/2014 0:00,,,TURNER COUNTY HEALTH DEPARTMENT,DISTRICT 8-1,745 HUDSON AVENUE,,ASHBURN,GA,31714,
STD-GA,,,STD31728,1650,STD,TRUE,1/1/2000,,,3/3/2014 0:00,,,GRADY COUNTY HEALTH DEPARTMENT,DISTRICT 8-2,"1030 FOURTH STREET, SE",,CAIRO,GA,39828,
STD-GA,,,STD31516,1741,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,PIERCE COUNTY HEALTH DEPARTMENT,DISTRICT 9-2,715 WARE STREET,,BLACKSHEAR,GA,31516,1545
STD-GA,,,STD30518,1759,STD,TRUE,10/1/2009,,,3/6/2014 0:00,,,EAST METRO HEALTH DISTRICT,BUFORD HEALTH CENTER District 3-4,2755 SAWNEE AVENUE,,BUFORD,GA,30518,
STD-GA,,,STD30295,1828,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,PIKE COUNTY HEALTH DEPARTMENT,District 4,541  GRIFFIN STREET,,ZEBULON,GA,30295,
STD-GA,,,STD30673,1989,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,WILKES COUNTY HEALTH DEPARTMENT,District 6,204 GORDON STREET,,WASHINGTON,GA,30673,
STD-GA,,,STD30046,1994,STD,TRUE,1/1/2000,,,2/26/2014 0:00,,,DPH  DISTRICT 3 UNIT 4,District 3-4,2570 RIVERSIDE PARKWAY,,LAWRENCEVILLE,GA,30046,
STD-GA,,,STD31082,2082,STD,TRUE,1/1/2000,,,3/7/2014 0:00,,,WASHINGTON COUNTY HEALTH DEPARTMENT,DISTRICT 5-2,201 MORNINGSIDE DRIVE,,SANDERSVILLE,GA,31082,
STD-GA,,,STD31763,2291,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,LEE COUNTY HEALTH DEPARTMENT,DISTRICT 8-2,112 PARK STREET,,LEESBURG,GA,31763,
STD-GA,,,STD30643,2462,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,HART COUNTY HEALTH DEPARTMENT,District 2,64 REYNOLDS ST.,,HARTWELL,GA,30643,
STD-GA,,,STD30188,2665,STD,TRUE,1/1/2011,,,2/26/2014 0:00,,,CHEROKEE COUNTY HEALTH DEPARTMENT,District 1-2,7545 NORTH MAIN STREET,SUITE 100,WOODSTOCK,GA,30188,
STD-GA,,,STD30286,3130,STD,TRUE,1/1/2000,,,2/26/2014 0:00,,,UPSON COUNTY HEALTH DEPARTMENT,District 4,314 E. LEE STREET,,THOMASTON,GA,30286,
STD-GA,,,STD31079,3153,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,WILCOX COUNTY HEALTH DEPARTMENT,DISTRICT 5-1,1001 SECOND AVENUE EAST,,ROCHELLE,GA,31079,
STD-GA,,,STD304011,3189,STD,TRUE,1/1/2005,,,3/10/2014 0:00,,,EMANUEL COUNTY HEALTH DEPARTMENT- ADRIAN,SATELLITE1 District 6,101 NORA BOULEVARD,,ADRIAN,GA,31002,
STD-GA,,,STD30209,3281,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,NEWTON COUNTY HEALTH DEPARTMENT,District 3-4,8203 HAZELBRAND ROAD,,COVINGTON,GA,30014,
STD-GA,,,STD30601,3301,STD,TRUE,1/1/2000,,,2/26/2014 0:00,,,CLARKE COUNTY HEALTH DEPARTMENT,DISTRICT 10,345 NORTH HARRIS STREET,,ATHENS,GA,30601,
STD-GA,,,STD30253,3524,STD,TRUE,1/1/2000,,,2/26/2014 0:00,,,HENRY COUNTY HEALTH DEPARTMENT,District 4,135 HENRY PARKWAY,,MCDONOUGH,GA,30253,
STD-GA,,,STD31766,3611,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,CALHOUN COUNTY HEALTH DEPARTMENT,DISTRICT 8-2,29040 N. BERMUDA STREET,,MORGAN,GA,39866,
STD-GA,,,STD314012,3841,STD,TRUE,1/1/2011,,,2/24/2014 0:00,,,CHATHAM CARE CENTER,District 9-1,107 B FAHM STREET,,SAVANNAH,GA,31401,
STD-GA,,,STD31740,4022,STD,TRUE,1/1/2000,,,3/3/2014 0:00,,,RANDOLPH COUNTY HEALTH DEPARTMENT,DISTRICT 7,207 N. WEBSTER STREET,,CUTHBERT,GA,39840,
STD-GA,,,STD303033,4069,STD,TRUE,10/1/1995,,,2/26/2014 0:00,,,GEORGIA DEPARTMENT OF PUBLIC HEALTH,DIV OF HEALTH PROTECTION,Georgia Department of Public Health Office,2 Peachtree St 9th Floor,ATLANTA,GA,30303,
STD-GA,,,STD30535,4175,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,HABERSHAM COUNTY HEALTH DEPARTMENT,,185 SCOGGINS DR.,,DEMOREST,GA,30535,
STD-GA,,,STD30534,4336,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,DAWSON COUNTY HEALTH DEPARTMENT,DISTRICT 2,54 HIGHWAY 53 E.,,DAWSONVILLE,GA,30534,
STD-GA,,,STD31510,4374,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,BACON COUNTY HEALTH DEPARTMENT,DISTRICT 9-2,101 N. WAYNE STREET,,ALMA,GA,31510,
STD-GA,,,STD305011,4474,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,GEORGIA DEPARTMENT OF PUBLIC  HEALTH,DISTRICT 2,1280 ATHENS STREET,,GAINESVILLE,GA,30507,
STD-GA,,,STD31014,4529,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,BLECKLEY COUNTY HEALTH DEPARTMENT,District 5-1,152 N. EIGHTH STREET,,COCHRAN,GA,31014,
STD-GA,,,STD31604,4539,STD,TRUE,1/1/2000,,,3/3/2014 0:00,,,LOWNDES COUNTY HEALTH DEPARTMENT,DISTRICT 8-1,206 S PATTERSON STREET,,VALDOSTA,GA,31601,
STD-GA,,,STD31078,4646,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,CRAWFORD COUNTY HEALTH DEPARTMENT,DISTRICT 5-2,141 MCCRARY STREET,,ROBERTA,GA,31078,
STD-GA,,,STD30445,4688,STD,TRUE,1/1/2000,,,2/27/2014 0:00,,,MONTGOMERY COUNTY HEALTH DEPARTMENT,DISTRICT 5-1,218 W. BROAD STREET,,MT. VERNON,GA,30445,
STD-GA,,,STD30079,4725,STD,TRUE,1/1/2001,,,2/27/2014 0:00,,,DEKALB COUNTY BOARD OF HEALTH,DHR  DISTRICT 3 UNIT 5,395 Glendale Road,,SCOTTDALE,GA,30079,
STD-GA,,,STD30533,4899,STD,TRUE,1/1/2000,,,2/26/2014 0:00,,,LUMPKIN COUNTY HEALTH DEPARTMENT,District 2,60 Mechanicsville Rd,,DAHLONEGA,GA,30533,
STD-GA,,,STD30810,4942,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,GLASCOCK COUNTY HEALTH DEPARTMENT,District 6,658 WEST MAIN STREET,,GIBSON,GA,30810,
STD-GA,,,STD30824,5011,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,MCDUFFIE COUNTY HEALTH DEPARTMENT,District 6,307 GREENWAY STREET,,THOMSON,GA,30824,
STD-GA,,,STD31061,5066,STD,TRUE,1/1/2000,,,3/4/2014 0:00,,,BALDWIN COUNTY HEALTH DEPARTMENT,DISTRICT 5-2,953 BARROWS FERRY ROAD NE,,MILLEDGEVILLE,GA,31061,
STD-GA,,,STD31745,5187,STD,TRUE,1/1/2000,,,3/6/2014 0:00,,,SEMINOLE COUNTY HEALTH DEPARTMENT,DISTRICT 8-2,904 N. WILEY AVENUE,,DONALSONVILLE,GA,39845,
STD-GA,,,STD31015,5284,STD,TRUE,1/1/2000,,,2/25/2014 0:00,,,CRISP COUNTY HEALTH DEPARTMENT,District 7-0,"111 24TH AVE., E.",,CORDELE,GA,31015,
