Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-IL,,,STD627038,898,STD,TRUE,1/1/1997,,,2/24/2014 0:00,,,ILLINOIS DEPT OF PUBLIC HEALTH,"DIV OF INFECTIOUS DISEASES, IMMUNIZATION PROMOTION CENTER",2840 VIA VERDE,,SPRINGFIELD,IL,62703,
STD-IL,,,STD60187,1091,STD,TRUE,1/1/2000,,,2/24/2014 0:00,,,DUPAGE COUNTY HEALTH DEPARTMENT,STD PROGRAM,111 N. COUNTY FARM ROAD,,WHEATON,IL,60187,
STD-IL,,,STD60610,1283,STD,TRUE,4/1/2004,,,2/12/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,NEAR NORTH PLANNED PARENTHOOD HEALTH CENTER,1200 N. LASALLE STREET,,CHICAGO,IL,60610,
STD-IL-CHI,,,STD60644,2348,STD,TRUE,1/1/2002,,,3/14/2014 0:00,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,SOUTH AUSTIN SPECIALTY CLINIC - STI-HIV,4958 WEST MADISON STREET,,CHICAGO,IL,60644,
STD-IL,,,STD60467,4716,STD,TRUE,4/1/2006,,,2/11/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,ORLAND PARK PLANNED PARENTHOOD,14470 S. LAGRANGE RD,SUITE 101,ORLAND PARK,IL,60462,
STD-IL-CHI,,,STD60657,4818,STD,TRUE,1/1/2001,,,3/14/2014 0:00,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,LAKEVIEW SPECIALTY CLINIC - STI/HIV,2861 NORTH CLARK STREET,,CHICAGO,IL,60657,
STD-IL,,,STD627618,4842,STD,TRUE,1/1/1995,,,2/24/2014 0:00,,,ILLINOIS DEPT OF PUBLIC HEALTH,DIVISION OF INFECTIOUS DISEASES,ADMINISTRATIVE BILLING OFFICE,525 W. JEFFERSON,SPRINGFIELD,IL,62761,
STD-IL,,,STD60603,4931,STD,TRUE,4/1/2004,,,2/11/2014 0:00,,,PLANNED PARENTHOOD OF ILLINOIS,LOOP HEALTH CENTER,18 S. MICHIGAN AVENUE,6TH FLOOR,CHICAGO,IL,60603,
STD-IL,,,STD61350,7236,STD,TRUE,1/1/2009,,,2/12/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,OTTAWA HEALTH CENTER,612 COURT,,OTTAWA,IL,61350,2915
STD-IL,,,STD62226,11524,STD,TRUE,4/1/2004,,,2/24/2014 0:00,,,"PLANNED PARENTHOOD OF THE ST. LOUIS REGION, BELLEVILLE",ILLINOIS HEALTH CENTER,4529 N. ILLINOIS (RTE. 159),LAKELAND SQUARE,BELLEVILLE,IL,62226,
STD-IL-CHI,,,STD60628,12578,STD,TRUE,1/1/2001,,,3/14/2014 0:00,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,ROSELAND NEIGHBORHOOD HEALTH CENTER - STI/HIV,200 EAST 115TH STREET,,CHICAGO,IL,60628,
STD-IL-CHI,,,STD60622,14705,STD,TRUE,1/1/2001,,,3/14/2014 0:00,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,WEST TOWN NEIGHBORHOOD HEALTH CENTER - STI/HIV,2418 WEST DIVISION STREET,,CHICAGO,IL,60622,
STD-IL,,,STD606220,15241,STD,TRUE,4/1/2004,,,2/12/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,WICKER PARK HEALTH CENTER,1152 N. MILWAUKEE,,CHICAGO,IL,60622,
STD-IL,,,STD60660,18658,STD,TRUE,4/1/2004,,,2/12/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,ROGERS PARK HEALTH CENTER,6353 N. BROADWAY,,CHICAGO,IL,60660,
STD-IL-CHI,,,STD60621,18748,STD,TRUE,1/1/2001,,,3/14/2014 0:00,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,ENGLEWOOD NEIGHBORHOOD HEALTH CENTER - STI/HIV,641 WEST 63RD STREET,,CHICAGO,IL,60621,
STD-IL-CHI,,,STD606221,18888,STD,TRUE,1/1/2000,,,2/18/2014 0:00,,,CHICAGO DEPT OF PUBLIC HEALTH STI/HIV/AIDS,STI/HIV/AIDS DIVISION; STI/HIV PREVENTION AND CONTROL SERVICES,333 South State Street,Room 200,CHICAGO,IL,60604,
STD-IL,,,STD60504,19704,STD,TRUE,7/1/2007,,,2/12/2014 0:00,,4931,PLANNED PARENTHOOD OF ILLINOIS,AURORA HEALTH CENTER,3051 E. NEW YORK STREET,,AURORA,IL,60504,
STD-IL,,,STD60651,25165,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Austin,,5937 West Chicago Avenue,,Chicago,IL,60651,
STD-IL,,,STD60636,25166,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Englewood,,6059 South Ashland,,Chicago,IL,60636,
STD-IL,,,STD61701,25167,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Bloomington,,1319 N. Veterans Parkway,,Bloomington,IL,61704,
STD-IL,,,STD61820,25168,STD,TRUE,1/1/2012,,,2/26/2014 0:00,,,Planned Parenthood of Illinois - Champaign,,302 E Stoughton Street,,Champaign,IL,61820,5414
STD-IL,,,STD62526,25169,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Decatur,,3021 N Oakland Avenue,,Decatur,IL,62526,
STD-IL,,,STD62401,25170,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Effingham,,500 N Maple Street,Suite C,Effingham,IL,62401,2005
STD-IL,,,STD61554,25171,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Pekin,,328 S 4th Street,,Pekin,IL,61554,
STD-IL,,,STD61603,25172,STD,TRUE,1/1/2012,,,2/24/2014 0:00,,,PP of IL - Peoria,,705 NE Jefferson Avenue,,Peoria,IL,61603,
STD-IL,,,STD606281,25873,STD,TRUE,4/1/2012,,,2/12/2014 0:00,,4931,Planned Parenthood of Illinois,Roseland,11250 South Halsted,,Chicago,IL,60628,
STD-IL,,,STD62703,25875,STD,TRUE,4/1/2012,,,2/12/2014 0:00,,4931,"Planned Parenthood of Illinois, Springfield",,1000 E. Washington Street,,Springfield,IL,62703,
