Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-IN,,,STD462058,3467,STD,TRUE,4/1/2000,,,3/10/2014 0:00,,,MARION COUNTY HEALTH DEPARTMENT,,3838 NORTH RURAL STREET,,INDIANAPOLIS,IN,46205,
STD-IN,,,STD47201,5729,STD,TRUE,4/1/2000,,,2/26/2014 0:00,,,BARTHOLOMEW COUNTY HEALTH DEPARTMENT,,1971 STATE STREET,,COLUMBUS,IN,47201,
STD-IN,,,STD46202,8216,STD,TRUE,4/1/2000,,,2/15/2014 0:00,,,INDIANA STATE DEPARTMENT OF HEALTH,"HIV, STD, VIRAL HEPATITIS DIVISION","2 NORTH MERIDIAN ST., 6-C",,INDIANAPOLIS,IN,46204,
STD-IN,,,STD47708,9151,STD,TRUE,4/1/2000,,,2/26/2014 0:00,,,VANDERBURGH COUNTY HEALTH DEPARTMENT,,OAK PARK PROFESSIONAL BUILDING,421 MULBERRY STREET,EVANSVILLE,IN,47713,
STD-IN,,,STD468025,13364,STD,TRUE,4/1/2000,,,2/26/2014 0:00,,,FORT WAYNE-ALLEN COUNTY HEALTH DEPARTMENT,,4813 New Haven,,FORT WAYNE,IN,46803,
STD-IN,,,STD46402,37650,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Gary City Health Department,,1145 W 5th Ave,,Gary,IN,46402,
STD-IN,,,STD47130,37958,STD,TRUE,10/1/2013,,,2/26/2014 0:00,,,Clark County Health Department,,1403 Spring St,,Jeffersonville,IN,47130,
STD-IN,,,STD46016,37959,STD,TRUE,10/1/2013,,,2/26/2014 0:00,,,Madison County Health Department,,208 E 9th St,,Anderson,IN,46016,
STD-IN,,,STD46368,37960,STD,TRUE,10/1/2013,,,2/26/2014 0:00,,,Porter County Health Dept.,,155 Indiana Ave,Suite 104,Valparaiso,IN,46368,
STD-IN,,,STD462021,38071,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Marion County Health Dept,Bell Flower Clinic,1101 W 10th St,,Indianapolis,IN,46202,4800
STD-IN,,,STD46601,38073,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,St. Joseph County Health Department,Nursing - STD Clinic,227 W Jefferson Blvd,9th Floor,South Bend,IN,46601,
STD-IN,,,STD46516,38077,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Elkhart County Health Dept,STD Clinic,608 Oakland Ave,,Elkhart,IN,46516,
STD-IN,,,STD46350,38078,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Laporte County Health Dept,Nursing - STD Clinic,809 State St,Suite 401A,LaPorte,IN,46350,
