Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-LA,,,STD701608,17401,STD,TRUE,1/1/1997,,,3/10/2014 0:00,,,LOUISIANA DHH OFFICE OF PUBLIC HEALTH,STD CONTROL PROGRAM,1450 POYDRAS,ROOM 1915,NEW ORLEANS,LA,70112,
STD-LA,,,STD70001,36435,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Jefferson Public Health Unit (Metairie),,111 North Causeway Blvd.,,Metairie,LA,70001,
STD-LA,,,STD70345,36437,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Lafourche Public Health Unit (Cutoff),,133 W 112th Street,,Cutoff,LA,70345,
STD-LA,,,STD70070,36438,STD,TRUE,10/1/2013,,,3/14/2014 0:00,,,St. Charles Community Health Center,,843 Milling Ave.,,Luling,LA,70070,
STD-LA,,,STD700722,36440,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Jefferson Parish Health Unit (Marrero),,1855 Ames Blvd.,,Marrero,LA,70072,
STD-LA,,,STD71303,36442,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Rapides Parish Health Unit,,"5604 ""A"" Coliseum Blvd",,Alexandria,LA,71303,
STD-LA,,,STD70526,36445,STD,TRUE,10/1/2013,,,3/11/2014 0:00,,,Acadia Parish Health Unit,,530 West Mill Street,,Crowley,LA,70526,
STD-LA,,,STD70737,36447,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Ascension Parish Health Unit,,1024 S. E. Ascension Complex Avenue,,Gonzales,LA,70737,
STD-LA,,,STD71351,36450,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Avoyelles Parish Health Unit,,657 Government Street,,Marksville,LA,71351,
STD-LA,,,STD70390,36453,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Assumption Parish Health Unit,,158 Highway 1088,,Napoleonville,LA,70390,
STD-LA,,,STD714631,36455,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Allen Parish Health Unit,,145 Hospital Drive,,Oakdale,LA,71463,
STD-LA,,,STD71001,36456,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Bienville Parish Health Unit,,1285 Pine Street,Suite 102,Arcadia,LA,71001,
STD-LA,,,STD71112,36459,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Bossier Parish Health Unit,,3022 Old Minden Road,,Bossier City,LA,71112,
STD-LA,,,STD70634,36461,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Beauregard Parish Health Unit,,216 Evangeline Street,,DeRidder,LA,70634,
STD-LA,,,STD71418,36463,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Caldwell Parish Health Unit,,501 Collins Road,,Columbia,LA,71418,
STD-LA,,,STD71334,36465,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Concordia Parish  Health Unit,,905 Micky Gilley Avenue,,Ferriday,LA,71334,
STD-LA,,,STD71343,36466,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Catahoula Parish Health Unit,,200 3rd Street,,Jonesville,LA,71343,
STD-LA,,,STD70602,36469,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Calcasieu Parish Health Unit,,3236 Kirkman Street,,Lake Charles,LA,70602,
STD-LA,,,STD711011,36470,STD,TRUE,10/1/2013,,,2/11/2014 0:00,,,Caddo Parish Health Unit,Caddo STD Clinic,1035 Creswell Avenue,,Shreveport,LA,71101,
STD-LA,,,STD71040,36473,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Claiborne Parish Health Unit,,624 West Main Street,,Homer,LA,71040,
STD-LA,,,STD71052,36475,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,DeSoto Parish Health Unit,,113 Jefferson Street,,Mansfield,LA,71052,
STD-LA,,,STD70805,36478,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,DHH-OPH Clinic,,2751 Wooddale Blvd,Suite B,Baton Rouge,LA,70805,
STD-LA,,,STD708021,36479,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,East Baton Rouge Parish Health Unit,,353 North 12th Street,,Baton Rouge,LA,70802,
STD-LA,,,STD707221,36481,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,East Feliciana Parish Health Unit,,12080 Marston Street,,Clinton,LA,70722,
STD-LA,,,STD71254,36483,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,East Carroll Parish Health Unit,,407 Second Street,,Lake Providence,LA,71254,
STD-LA,,,STD70586,36485,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Evangeline Parish Health Unit,,1010 W LaSalle Street,,Ville Platte,LA,70586,
STD-LA,,,STD71295,36488,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Franklin Parish Health Unit,,6614 Main Street,,Winnsboro,LA,71295,
STD-LA,,,STD71417,36490,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Grant Parish Health Unit,,340-A Webb Smith Drive,,Colfax,LA,71417,
STD-LA,,,STD70560,36494,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Iberia Parish Health Unit,,715 B Weldon Street,,New Iberia,LA,70560,
STD-LA,,,STD70764,36496,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Iberville Parish Health Unit,,24705 Plaza Drive,Suite A,Plaquemine,LA,70764,
STD-LA,,,STD70546,36497,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Jefferson Davis Parish Health Unit,,403 Baker Street,,Jennings,LA,70546,
STD-LA,,,STD712511,36499,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Jackson Parish Health Unit,,228 Bond Street,,Jonesboro,LA,71251,
STD-LA,,,STD71342,36500,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,LaSalle Parish Health Unit,,1673 North 2nd Street,,Jena,LA,71342,
STD-LA,,,STD705014,36501,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Lafayette Parish Health Unit,,220 W. Willow Street,Building A,Lafayette,LA,70501,
STD-LA,,,STD71270,36502,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Lincoln Parish Health Unit,,403E Georgia Avenue,,Ruston,LA,71270,
STD-LA,,,STD70301,36504,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Lafourche Parish Health Unit,,2535 Veterans Blvd,,Thibodeaux,LA,70301,
STD-LA,,,STD70754,36506,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Livingston Parish Health Unit,,20140 Iowa Street,,Livingston,LA,70754,
STD-LA,,,STD712201,36509,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Morehouse Parish Health Unit,,650 School Road,,Bastrop,LA,71220,
STD-LA,,,STD712822,36512,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Madison Parish Health Unit,,606 Snyder Street,,Tallulah,LA,71282,
STD-LA,,,STD714571,36515,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Natchitoches Parish Health Unit,,625 Bienville Street,,Natchitoches,LA,71457,
STD-LA,,,STD70760,36516,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Pointe Coupee Parish Health Unit,,282B Hospital Road,,New Roads,LA,70760,
STD-LA,,,STD71019,36517,STD,TRUE,10/1/2013,,,3/10/2014 0:00,,,Red River Parish Health Unit,,2015 Red Oak Road,,Coushatta,LA,71019,
