Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-MD,,,STD21742,284,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,WASHINGTON COUNTY HEALTH DEPARTMENT,,1302 PENNSYLVANIA AVENUE,,HAGERSTOWN,MD,21742,
STD-MD,,,STD20650,570,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,SAINT MARY'S COUNTY HEALTH DEPARTMENT,,21580 PEABODY STREET,,LEONARDTOWN,MD,20650,
STD-MD-BALT,,,STD21217A,3857,STD,TRUE,1/1/2004,,,3/2/2014 0:00,,,BALTIMORE CITY HEALTH DEPARTMENT,DRUID HEALTH CLINIC-FAMILY PLANNING,1515 W. NORTH AVENUE,1ST FLOOR,BALTIMORE,MD,21217,
STD-MD,,,STD2120110,4371,STD,TRUE,1/1/2005,,,3/12/2014 0:00,,,MARYLAND DEPARTMENT OF HEALTH AND MENTAL HYGEINE,CENTER FOR STI PREVENTION,500 N. CALVERT STREET,5TH FLOOR,BALTIMORE,MD,21202,
STD-MD,,,STD21921,4839,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,CECIL COUNTY HEALTH DEPARTMENT,JOHN M. BYERS HEALTH CENTER,401 BOW STREET,,ELKTON,MD,21921,
STD-MD,,,STD21044,5064,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,HOWARD COUNTY HEALTH DEPARTMENT,,Howard County Health Department,8930 Stanford Blvd.,COLUMBIA,MD,21045,
STD-MD,,,STD215506,5355,STD,TRUE,4/1/1996,,,2/24/2014 0:00,,,GARRETT COUNTY HEALTH DEPARTMENT,,1025 MEMORIAL DRIVE,,OAKLAND,MD,21550,
STD-MD,,,STD21501,5942,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,ALLEGANY COUNTY HEALTH DEPARTMENT,,"12501 WILLOWBROOK ROAD, S.E",,CUMBERLAND,MD,21501,1745
STD-MD,,,STD21620,7028,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,KENT COUNTY HEALTH DEPARTMENT,,125 SOUTH LYNCHBURG STREET,,CHESTERTOWN,MD,21620,
STD-MD,,,STD20747,7070,STD,TRUE,1/1/2001,,,2/24/2014 0:00,,,PRINCE GEORGE'S COUNTY HEALTH DEPARTMENT,,3003 HOSPITAL DRIVE,"SUITE 3048, 3RD FLOOR",CHEVERLY,MD,20785,
STD-MD-BALT,,,STD21205,8970,STD,TRUE,1/1/2003,,,3/2/2014 0:00,,,EASTERN STD CLINIC,,620 N. CAROLINE STREET,,BALTIMORE,MD,21205,
STD-MD,,,STD218633,9886,STD,TRUE,4/1/1996,,,2/24/2014 0:00,,,WORCESTER COUNTY HEALTH DEPARTMENT,,6040 PUBLIC LANDING ROAD,,SNOW HILL,MD,21863,
