Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-MI,,,STD496860,1201,STD,TRUE,1/1/2007,,,2/21/2014 0:00,,,PLANNED PARENTHOOD NORTHERN MICHIGAN,TRAVERSE CITY CLINIC,1135 E EIGHTH STREET,,TRAVERSE CITY,MI,49686,
STD-MI,,,STD494415,2017,STD,TRUE,1/1/2005,,,2/26/2014 0:00,,,"PLANNED PARENTHOOD OF WEST AND NORTHERN MICHIGAN, INC.",MUSKEGON CENTER,209 E Apple Ave,,Muskegon,MI,49442,3406
STD-MI,,,STD49503,2116,STD,TRUE,1/1/2003,,,3/10/2014 0:00,,,KENT COUNTY HEALTH DEPARTMENT,,700 FULLER NE,,GRAND RAPIDS,MI,49503,
STD-MI,,,STD495035,2413,STD,TRUE,1/1/2005,,,2/26/2014 0:00,,,PLANNED PARENTHOOD OF KENT COUNTY,,425 CHERRY STREET,,GRAND RAPIDS,MI,49503,
STD-MI,,,STD480602,3207,STD,TRUE,1/1/2004,,,2/15/2014 0:00,,,ST. CLAIR COUNTY HEALTH DEPT,,PUBLIC SERVICES BUILDING,3415 28TH STREET,PORT HURON,MI,48060,
STD-MI,,,STD495095,3798,STD,TRUE,1/1/2005,,,2/25/2014 0:00,,,"PLANNED PARENTHOOD OF WEST AND NORTHERN MICHIGAN, INC.",EVENSON CENTER,3641 BYRON CENTER SW,,WYOMING,MI,49509,
STD-MI,,,STD48043,4985,STD,TRUE,1/1/2003,,,2/15/2014 0:00,,,MACOMB COUNTY HEALTH DEPARTMENT,,43525 ELIZABETH,,MT. CLEMENS,MI,48043,
STD-MI,,,STD49023,5106,STD,TRUE,1/1/2003,,,3/3/2014 0:00,,,BERRIEN COUNTY HEALTH DEPARTMENT,,769 PIPESTONE STREET,,BENTON HARBOR,MI,49023,
STD-MI,,,STD48708,6741,STD,TRUE,1/1/2003,,,2/11/2014 0:00,,,BAY COUNTY HEALTH DEPARTMENT,,1200 WASHINGTON AVE,,BAY CITY,MI,48708,
STD-MI,,,STD49349,7119,STD,TRUE,1/1/2003,,,3/6/2014 0:00,,,DISTRICT HEALTH DEPARTMENT #10,,1049 NEWELL ST,,WHITE CLOUD,MI,49349,
STD-MI,,,STD48640,7374,STD,TRUE,1/1/2003,,,3/3/2014 0:00,,,MIDLAND COUNTY HEALTH DEPARTMENT,,220 WEST ELLSWORTH STREET,,MIDLAND,MI,48640,5194
STD-MI,,,STD49770,7579,STD,TRUE,1/1/2007,,,2/25/2014 0:00,,,PLANNED PARENTHOOD NORTHERN MICHIGAN,PETOSKEY CLINIC,1003 SPRING STREET,,PETOSKEY,MI,49770,
STD-MI,,,STD488171,8122,STD,TRUE,4/1/2003,,,3/10/2014 0:00,,,SHIAWASSEE COUNTY HEALTH,,310 N. SHIAWASSEE STREET,,CORUNNA,MI,48817,
STD-MI,,,STD49783,8298,STD,TRUE,1/1/2003,,,3/10/2014 0:00,,,CHIPPEWA COUNTY HEALTH DEPARTMENT,,508 ASHMUN STREET,SUITE 120,SAULT SAINTE MARIE,MI,49783,
STD-MI,,,STD487232,10401,STD,TRUE,1/1/2003,,,2/15/2014 0:00,,,TUSCOLA CO HEALTH DEPT,,1309 CLEAVER RD,SUITE B,CARO,MI,48723,9135
STD-MI,,,STD484718,10855,STD,TRUE,1/1/2003,,,3/6/2014 0:00,,,SANILAC CO HEALTH DEPT,,171 DAWSON STREET,,SANDUSKY,MI,48471,
STD-MI,,,STD481617,10863,STD,TRUE,1/1/2003,,,2/18/2014 0:00,,,MONROE CO HEALTH DEPT,,2353 S. CUSTER RD.,,MONROE,MI,48161,
STD-MI,,,STD486025,11575,STD,TRUE,1/1/2003,,,3/3/2014 0:00,,,SAGINAW CO HEALTH DEPT,,1600 N MICHIGAN AVE,,SAGINAW,MI,48602,
STD-MI,,,STD48843,12146,STD,TRUE,1/1/2003,,,3/7/2014 0:00,,,LIVINGSTON COUNTY DEPARMENT  PUBLIC HLTH,,2300 E GRAND RIVER AVE,SUITE 102,HOWELL,MI,48843,
STD-MI,,,STD494243,13041,STD,TRUE,1/1/2003,,,3/10/2014 0:00,,,OTTAWA CO HEALTH DEPT,,12251 JAMES ST,SUITE 400,HOLLAND,MI,49424,
STD-MI,,,STD493075,14425,STD,TRUE,1/1/2005,,,2/24/2014 0:00,,,PLANNED PARENTHOOD OF WEST MICHIGAN - MECOSTA CENTER,,110 Sanborn Ave.,Suite B,BIG RAPIDS,MI,49307,1769
STD-MI,,,STD488132,14748,STD,TRUE,4/1/2003,,,3/3/2014 0:00,,,BARRY-EATON DISTRICT HEALTH,,1033 HEALTH CARE DRIVE,,CHARLOTTE,MI,48813,
STD-MI,,,STD48846,15351,STD,TRUE,1/1/2005,,,2/26/2014 0:00,,,PLANNED PARENTHOOD OF WEST MICHIGAN - IONIA CENTER,,175 EAST ADAMS,,IONIA,MI,48846,
STD-MI,,,STD488888,15551,STD,TRUE,1/1/1998,,,2/26/2014 0:00,,,MID-MICHIGAN DISTRICT HEALTH DEPT,,615 N STATE ROAD,SUITE 1,STANTON,MI,48888,
STD-MI,,,STD481974,16377,STD,TRUE,10/1/1999,,,2/15/2014 0:00,,,WASHTENAW CO HEALTH DEPT,,555 TOWNER,,YPSILANTI,MI,48197,0915
STD-MI,,,STD483416,17516,STD,TRUE,10/1/1994,,,2/24/2014 0:00,,,OAKLAND CO HEALTH DIVISION,,1200 N TELEGRAPH RD,DEPT 432,PONTIAC,MI,48341,
STD-MI,,,STD494422,18494,STD,TRUE,1/1/2003,,,2/11/2014 0:00,,,MUSKEGON CO HEALTH DEPT,,209 E. APPLE AVE,SUITE D-104,MUSKEGON,MI,49442,
STD-MI,,,STD496174,18539,STD,TRUE,1/1/1998,,,2/26/2014 0:00,,,BENZIE-LEELANAU DISTRICT,,6051 FRANKFORT HIGHWAY,SUITE 100,BENZONIA,MI,49616,
STD-MI,,,STD489109,18685,STD,TRUE,4/1/2003,,,2/21/2014 0:00,,,MICHIGAN DEPT OF COMMUNITY HEALTH,"DIVISION OF HEALTH, WELLNESS AND DISEASE CONTROL",SEXUALLY TRANSMITTED DISEASE SECTION,"109 MICHIGAN AVE, 9TH FLOOR",LANSING,MI,48913,
STD-MI,,,STD49855,19918,STD,TRUE,1/1/2003,,,3/4/2014 0:00,,,MARQUETTE COUNTY HEALTH DEPARTMENT,,184 US 41 HWY EAST,,NEGAUNEE,MI,49866,
STD-MI,,,STD488583,20186,STD,TRUE,4/1/2002,,,2/21/2014 0:00,,,CENTRAL MICHIGAN DISTRICT HEALTH DEPARTMENT,,2012 E. PRESTON AVENUE,,MT. PLEASANT,MI,48858,
STD-MI,,,STD48413,20761,STD,TRUE,1/1/2003,,,2/20/2014 0:00,,,HURON COUNTY HEALTH DEPARTMENT,,1142 SOUTH VAN DYKE,,BAD AXE,MI,48413,
STD-MI,,,STD48209,21255,STD,TRUE,1/1/2004,,,2/18/2014 0:00,,,CITY OF DETROIT HEALTH DEPARTMENT,CHASS,5635 WEST FORT STREET,,DETROIT,MI,48209,
STD-MI,,,STD489094,22761,STD,TRUE,4/1/2003,,,3/3/2014 0:00,,,INGHAM CO HEALTH DEPT,,5303 S CEDAR,,LANSING,MI,48909,
STD-MI,,,STD480603,22973,STD,TRUE,10/1/2007,,,2/11/2014 0:00,,,ST CLAIR COUNTY HEALTH DEPT,TEEN HEALTH CENTER,2215 COURT STREET,,PORT HURON,MI,48060,
STD-MI,,,STD498550,23782,STD,TRUE,1/1/2007,,,2/24/2014 0:00,,,PLANNED PARENTHOOD NORTHERN MICHIGAN,MARQUETTE CLINIC,1219 N THIRD STREET,,MARQUETTE,MI,49855,
STD-MI,,,STD482026,35047,STD,TRUE,7/1/2013,,,2/11/2014 0:00,,,Wayne State University Campus Health Center,,5200 Anthony Wayne Drive Suite 115,,Detroit,MI,48202,
STD-MI,,,STD48207,41249,STD,TRUE,4/1/2014,,,,,,Institute for Population Health,,1400 Woodbridge Street,Finance,Detroit,MI,48207,
