Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-NY,,,STD13617,230,STD,TRUE,1/1/2003,,,2/21/2014 0:00,,,ST LAWRENCE COUNTY PUBLIC HEALTH DEPT,,80 STATE HIGHWAY 310,SUITE 2,CANTON,NY,13617,1476
STD-NY,,,STD138279,363,STD,TRUE,1/1/1998,,,3/13/2014 0:00,,,TIOGA COUNTY HEALTH DEPT,,1062 Route 38,,OWEGO,NY,13827,0120
STD-NY,,,STD131659,868,STD,TRUE,1/1/1998,,,3/14/2014 0:00,,,SENECA COUNTY HEALTH DEPT,,31 THURBER DRIVE,,WATERLOO,NY,13165,
STD-NY-NYC,,,STD100161,1533,STD,TRUE,12/1/1992,,,2/11/2014 0:00,,,NEW YORK CITY  DEPARTMENT OF HEALTH & MENTAL HYGIENE,STD/TB,"42-09 28th St, 20th Floor",,Long Island City,NY,11101,4132
STD-NY,,,STD125343,1561,STD,TRUE,7/1/2014,,,,,,COLUMBIA COUNTY HEALTH DEPT,,325 COLUMBIA ST. 1ST FLOOR,,HUDSON,NY,12534,
STD-NY,,,STD124149,1768,STD,TRUE,1/1/2009,,,3/4/2014 0:00,,,GREENE COUNTY FAMILY PLANNING SERVICES,,411 MAIN STREET,3RD FLOOR,CATSKILL,NY,12414,
STD-NY,,,STD148501,1883,STD,TRUE,1/1/1998,,,2/11/2014 0:00,,,TOMPKINS COUNTY HEALTH DEPT,,55 BROWN ROAD,,ITHACA,NY,14850,
STD-NY,,,STD11520,2071,STD,TRUE,7/1/2004,,,2/10/2014 0:00,,,FREEPORT - ROOSEVELT COMMUNITY HEALTH CENTER,,380 NASSAU ROAD,,ROOSEVELT,NY,11575,
STD-NY,,,STD14604,3746,STD,TRUE,1/1/2003,,,3/11/2014 0:00,,,THRESHOLD CENTER FOR ALT YOUTH SRVS. INC,,145 PARSELLS AVE.,,ROCHESTER,NY,14609,
STD-NY,,,STD11901,3972,STD,TRUE,1/1/2010,,,3/13/2014 0:00,,,SUFFOLK COUNTY HEALTH SERVICES,JAIL MEDICAL UNIT CLINIC,100 CENTER DRIVE,,RIVERHEAD,NY,11901,
STD-NY,,,STD11554A,4902,STD,TRUE,1/1/2004,,,2/10/2014 0:00,,,NASSAU UNIVERSITY MEDICAL CENTER,,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,
STD-NY,,,STD147600,6016,STD,TRUE,1/1/1998,,,2/18/2014 0:00,,,CATTARAUGUS COUNTY HEALTH DEPT,,1 LEO MOSS DRIVE,SUITE 4010,OLEAN,NY,14760,
STD-NY,,,STD135010,6069,STD,TRUE,1/1/1998,,,2/25/2014 0:00,,,ONEIDA COUNTY HEALTH DEPT,,406 ELIZABETH STREET,,UTICA,NY,13501,
STD-NY,,,STD140209,6468,STD,TRUE,1/1/1998,,,2/11/2014 0:00,,,GENESEE COUNTY HEALTH DEPT STD AND TB CLINIC,,3837 W MAIN STREET ROAD,,BATAVIA,NY,14020,9406
STD-NY,,,STD140947,6521,STD,TRUE,1/1/1998,,,2/11/2014 0:00,,,NIAGARA COUNTY HEALTH DEPT,NURSING DIVISION,1001 – 11TH STREET,3RD FLOOR,NIAGARA FALLS,NY,14301,1201
STD-NY,,,STD12222,7344,STD,TRUE,1/1/2003,,,2/10/2014 0:00,,,SUNY ALBANY,UNIVERSITY HEALTH CENTER,400 PATROON CREEK BLVD,SUITE 200,ALBANY,NY,12206,
STD-NY,,,STD11788,7642,STD,TRUE,1/1/2003,,,3/6/2014 0:00,,,SUFFOLK COUNTY DEPARTMENT OF HEALTH,,3500 Sunrise Highway,Suite 124,Great River,NY,11739,9006
STD-NY,,,STD128452,7833,STD,TRUE,1/1/1998,,,3/10/2014 0:00,,,WARREN COUNTY HEALTH SERVICES,MUNICIPAL CENTER,1340 STATE ROUTE 9,,LAKE GEORGE,NY,12845,
