Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-NC,,,STD28734,91,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,MACON COUNTY HEALTH DEPARTMENT,,1830 LAKESIDE DRIVE,,FRANKLIN,NC,28734,
STD-NC,,,STD28472,445,STD,TRUE,1/1/2009,,,3/2/2014 0:00,,,COLUMBUS COUNTY HEALTH DEPARTMENT,,304 JEFFERSON STREET,,WHITEVILLE,NC,28472,
STD-NC,,,STD27589,1008,STD,TRUE,1/1/2009,,,2/11/2014 0:00,,,WARREN COUNTY HEALTH DEPARTMENT,,544 WEST RIDGEWAY STREET,,WARRENTON,NC,27589,
STD-NC,,,STD28640,1127,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,ASHE COUNTY HEALTH DEPARTMENT,,413 MCCONNELL STREET,,JEFFERSON,NC,28640,
STD-NC,,,STD28401,1307,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,NEW HANOVER COUNTY HEALTH DEPARTMENT,,2029 SOUTH 17TH STREET,,WILMINGTON,NC,28401,
STD-NC,,,STD28337,1520,STD,TRUE,1/1/2009,,,2/26/2014 0:00,,,BLADEN COUNTY HEALTH DEPARTMENT,,300 MERCER MILL ROAD,,ELIZABETHTOWN,NC,28337,
STD-NC,,,STD27925,1589,STD,TRUE,1/1/2009,,,3/6/2014 0:00,,,TYRELL COUNTY HEALTH DEPARTMENT,,408 BROAD STREET,,COLUMBIA,NC,27925,
STD-NC,,,STD27839,1729,STD,TRUE,1/1/2009,,,2/12/2014 0:00,,,HALIFAX COUNTY HEALTH DEPARTMENT,,19 N DOBBS STREET,,HALIFAX,NC,27839,
STD-NC,,,STD28360,1879,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,ROBESON COUNTY HEALTH DEPARTMENT,,460 COUNTRY CLUB ROAD,,LUMBERTON,NC,28360,
STD-NC,,,STD28328,1895,STD,TRUE,1/1/2009,,,2/10/2014 0:00,,,SAMPSON COUNTY HEALTH DEPARTMENT,,360 COUNTY COMPLEX ROAD,Suite 200,CLINTON,NC,28328,
