Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-PA,,,STD18711,608,STD,TRUE,1/1/1998,,,2/20/2014 0:00,,,WILKES BARRE CITY HEALTH,,71 NORTH FRANKLIN STREET,ROOM 109,WILKES-BARRE,PA,18701,
STD-PA,,,STD171205,1371,STD,TRUE,4/1/1996,,,3/7/2014 0:00,,,COMMONWEALTH OF PENNSYLVANIA,PA DEPARTMENT OF HEALTH,625 FORSTER STREET,"HEALTH AND WELFARE BUILDING, BIOLOGICALS RM B-24B",HARRISBURG,PA,17120,
STD-PA-PHIL,,,STD19149,1929,STD,TRUE,4/1/2002,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,DISTRICT HEALTH CENTER #10,2230 COTTMAN AVENUE,PHILADELPHIA,PA,19149,
STD-PA-PHIL,,,STD19136,6030,STD,TRUE,1/1/2004,,,3/14/2014 0:00,,,PRISON HEALTH SERVICES,,8001 STATE ROAD,HOC MOD 2,PHILADELPHIA,PA,19136,
STD-PA,,,STD181026,6421,STD,TRUE,4/1/1996,,,2/11/2014 0:00,,,ALLENTOWN BUREAU OF HEALTH,,245 NORTH 6TH ST,,ALLENTOWN,PA,18102,
STD-PA,,,STD19404,7419,STD,TRUE,4/1/1996,,,3/13/2014 0:00,,,MONTGOMERY CO HEALTH DEPT,,Montgomery County Health Department,1430 DEKALB STREET,NORRISTOWN,PA,19404,0311
STD-PA-PHIL,,,STD191231,7659,STD,TRUE,4/1/2002,,,3/14/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,DISTRICT HEALTH CENTER #6,321 EAST/WEST GIRARD AVENUE,PHILADELPHIA,PA,19123,
STD-PA-PHIL,,,STD19104,8312,STD,TRUE,1/1/2003,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER #3,555 S 43RD STREET,PHILADELPHIA,PA,19104,
STD-PA-PHIL,,,STD191464,8759,STD,TRUE,1/1/1998,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,DIVISION OF PHARMACEUTICA,500 S. BROAD STREET,PHILADELPHIA,PA,19146,
STD-PA,,,STD165071,10068,STD,TRUE,4/1/1996,,,3/6/2014 0:00,,,ERIE CO DEPT OF HEALTH,,606 WEST SECOND ST,,ERIE,PA,16507,
STD-PA-PHIL,,,STD1910412,14791,STD,TRUE,4/1/2002,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER #4,4400 HAVERFORD AVENUE,PHILADELPHIA,PA,19104,
STD-PA,,,STD180196,15363,STD,TRUE,4/1/1996,,,2/19/2014 0:00,,,BETHLEHEM BUREAU OF HEALTH,,10 EAST CHURCH ST,,BETHLEHEM,PA,18018,
STD-PA-PHIL,,,STD19120,18077,STD,TRUE,4/1/2002,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER #5,1900 N. 20TH STREET,PHILADELPHIA,PA,19120,
STD-PA-PHIL,,,STD19145,18817,STD,TRUE,1/1/2003,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER#2,1930 S BROAD STREET,PHILADELPHIA,PA,19145,
STD-PA-PHIL,,,STD1913602,18895,STD,TRUE,12/9/2005,,,3/14/2014 0:00,,,RIVERSIDE CORRECTIONAL FACILITY,,8151 STATE ROAD,,PHILADELPHIA,PA,19136,
STD-PA,,,STD193827,19683,STD,TRUE,4/1/1996,,,3/13/2014 0:00,,,CHESTER CO HEALTH DEPT,BUREAU OF PERSONAL HEALTH,601 WESTTOWN RD,SUITE 180,WEST CHESTER,PA,19382,
STD-PA-PHIL,,,STD1913601,21344,STD,TRUE,12/9/2005,,,3/14/2014 0:00,,,CURRAN FROMHOLD CORRECTIONAL FACILITY,,7901 STATE ROAD,,PHILADELPHIA,PA,19136,
STD-PA-PHIL,,,STD19144,22317,STD,TRUE,4/1/2002,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER #9,131 EAST CHELTEN AVENUE,PHILADELPHIA,PA,19144,
STD-PA,,,STD152136,22653,STD,TRUE,4/1/1996,,,3/11/2014 0:00,,,ALLEGHENY CO HEALTH DEPT,,3901 PENN AVENUE,,PITTSBURGH,PA,15224,
STD-PA-PHIL,,,STD191322,22865,STD,TRUE,4/1/2002,,,3/13/2014 0:00,,,CITY OF PHILADELPHIA,DEPARTMENT OF PUBLIC HEALTH,STRAWBERRY MANSION HEALTH CTR,2840 WEST DAUPHIN STREET,PHILADELPHIA,PA,19132,
STD-PA,,,STD17602,41848,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Lancaster Medical Center,31 South Lime St,,Lancaster,PA,17602,
STD-PA,,,STD17356,41850,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Red Lion Medical Center,2997 Cape Horn Road,,Red Lion,PA,17356,
STD-PA,,,STD17325,41852,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Gettysburg Medical Center,963 Biglerville Road,,Gettysburg,PA,17325,
STD-PA,,,STD174031,41854,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,York Medical Center,728 South Beaver Street,,York,PA,17403,
STD-PA,,,STD17201,41858,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Chambersburg Medical Center,1854 Wayne Street,,Chambersburg,PA,17201,
STD-PA,,,STD173311,41862,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Hanover Medical Center,Central Building,Center Square,Hanover,PA,17331,
STD-PA,,,STD17102,41863,STD,TRUE,7/1/2014,,,,,,Planned Parenthood Keystone,Harrisburg Medical Center,1514 North 2nd Street,,Harrisburg,PA,17102,
