Grant Number,Site_ID,Medicare Provider Number,340B ID,CE ID,Entity Type Code,Participating,Participating Start Date,Termination Reason,Term Date,Certified/Decertified Date,New Record ID,Parent ID,Entity Name,Entity Sub-Division Name,Address 1,Address 2,City,State,Zip,Second Zip
STD-TN,,,STD371906,117,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,CANNON COUNTY HEALTH DEPT,,301 W. Main Street,Suite 200,Woodbury,TN,37190,
STD-TN,,,STD381059,328,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,SHELBY COUNTY HLTH DEPT,,814 JEFFERSON AVE,,MEMPHIS,TN,38105,
STD-TN,,,STD378878,672,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,MORGAN COUNTY HEALTH DEPT,,1103 Knoxville Hwy,,Wartburg,TN,37887,
STD-TN,,,STD385498,848,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,PICKETT COUNTY HEALTH DEPT,,1013 Woodlawn Drive,,Byrdstown,TN,38549,
STD-TN,,,STD385709,926,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,OVERTON COUNTY HEALTH DEP,,5880 Bradford-Hicks Drive,,Livingston,TN,38570,
STD-TN,,,STD378071,980,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,UNION COUNTY HEALTH DEPT,,4335 Maynardville Hwy,,Maynardville,TN,37807,
STD-TN,,,STD376507,1060,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,UNICOI COUNTY HEALTH DEPT,,101 Okolona Dr,,Erwin,TN,37650,
STD-TN,,,STD382611,1252,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,WEST TENNESSEE REGION-UNI,,1010 MT ZION ROAD,,UNION CITY,TN,38261,
STD-TN,,,STD370152,1306,STD,TRUE,10/1/2001,,,3/2/2014 0:00,,,CHEATHAM COUNTY HEALTH DEPT,,"162 COUNTY SERVICES ROAD, SUITE 200",,ASHLAND CITY,TN,37015,
STD-TN,,,STD373013,1399,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,GRUNDY COUNTY HEALTH DEPT,,1372 MAIN ST,,ALTAMONT,TN,37301,
STD-TN,,,STD371607,1696,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,BEDFORD COUNTY HEALTH DEPT,,140 DOVER ST,,SHELBYVILLE,TN,37160,
STD-TN,,,STD373224,2328,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,MEIGS COUNTY HEALTH DEPT,,389 RIVER ROAD,,DECATUR,TN,37322,
STD-TN,,,STD380248,2439,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,DYER COUNTY HEALTH DEPT,,1755 Parr Avenue,,Dyersburg,TN,38024,
STD-TN,,,STD383291,2520,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,DECATUR COUNTY HEALTH DEPT,,155 North Pleasant Street,,Decaturville,TN,38329,
STD-TN,,,STD384645,3082,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,LAWRENCE COUNTY HEALTH DEPT,,2379 BUFFALO ROAD,,LAWRENCEBURG,TN,38464,
STD-TN,,,STD384018,3266,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,MAURY COUNTY HEALTH DEPT,,100 BLYTHEWOOD DR,,COLUMBIA,TN,38401,
STD-TN,,,STD380190,3326,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,TIPTON COUNTY HEALTH DEPT,,4700 Mueller Brass Road,,Covington,TN,38019,
STD-TN,,,STD373525,3333,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,MOORE COUNTY HEALTH DEPT,,251 MAJORS BLVD,,LYNCHBURG,TN,37352,
STD-TN,,,STD370339,3637,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,HICKMAN COUNTY HEALTH DEP,,111 MURPHREE AVE,,CENTERVILLE,TN,37033,1418
STD-TN,,,STD373475,3730,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,MARION COUNTY HEALTH DEPT,,110 GAMBLE LANE,,JASPER,TN,37347,
STD-TN,,,STD370660,3848,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,SUMNER COUNTY HEALTH DEPT,,1005 UNION SCHOOL ROAD,,GALLATIN,TN,37066,
STD-TN,,,STD378614,4050,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,GRAINGER COUNTY HEALTH DE,,185 Justice Center Drive,,Rutledge,TN,37861,
STD-TN,,,STD380685,4559,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,FAYETTE COUNTY HEALTH DEPT,,90 Yum Yum Road,,Somerville,TN,38068,
STD-TN,,,STD385574,4620,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,CUMBERLAND COUNTY HEALTH,,131 South Webb Avenue,,Crossville,TN,38557,
STD-TN,,,STD376045,4856,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,NORTHEAST TN REG-JOHNSON CITY,,1233 Soutwest Ave Ext,,Johnson City,TN,37604,
STD-TN,,,STD370914,4924,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,MARSHALL COUNTY HEALTH DEPT,,206 LEGION STREET,,LEWISBURG,TN,37091,
STD-TN,,,STD385853,5182,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,VAN BUREN COUNTY HEALTH DEPT,,907 Old McMinnville Street,,Spencer,TN,38585,
STD-TN,,,STD382619,5371,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,OBION COUNTY HEALTH DEPT,,1008 Mt Zion Road,,Union City,TN,38261,
STD-TN,,,STD383012,5398,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,WEST TENN. REGION-JACKSON,,295 SUMMAR,,JACKSON,TN,38301,
STD-TN,,,STD384851,5897,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,WAYNE COUNTY HEALTH DEPT,,102 JV MANGUBAT DRIVE,,WAYNESBORO,TN,38485,
STD-TN,,,STD370558,5966,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,DICKSON COUNTY HEALTH DEPT,,301 WEST END AVENUE,,DICKSON,TN,37055,
STD-TN,,,STD382423,6623,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,HENRY COUNTY HEALTH DEPT,,803 Joy Street,,Paris,TN,38242,
STD-TN,,,STD373984,6734,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,FRANKLIN COUNTY HEALTH DE,,338 JOYCE LANE,,WINCHESTER,TN,37398,
STD-TN,,,STD385012,6989,STD,TRUE,10/1/2001,,,2/28/2014 0:00,,,UPPER CUMBERLAND REGION-COOK,,1100 England Drive,,COOKEVILLE,TN,38501,
STD-TN,,,STD383406,7242,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,CHESTER COUNTY HEALTH DEPT,,301 Quinco Drive,,Henderson,TN,38340,
STD-TN,,,STD383016,7411,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,JACKSON-MADISON REGIONAL,,804 NORTH PARKWAY,,JACKSON,TN,38305,
STD-TN,,,STD373671,7624,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,BLEDSOE COUNTY HEALTH DEP,,1185 ALVIN YORK HIGHWAY,,PIKEVILLE,TN,37367,
STD-TN,,,STD373214,7718,STD,TRUE,10/1/2001,,,3/3/2014 0:00,,,RHEA COUNTY HEALTH DEPT,,344 EAGLE LANE,,EVENSVILLE,TN,37332,
